kgID,refseq
uc001bhk,NM_000975
uc001chs,NM_004559
uc001cmi,NM_001012
uc001dbh,NM_002633
uc001dgy,NM_004582
uc010oro,NM_006820
uc001doz,NM_000969
uc001eum,NM_004698
uc001fdv,NM_001030
uc001amd,NM_000983
uc001bfj,NM_005529
uc001bof,NM_006990
uc001cdl,NM_001135653
uc001dxm,NM_002959
uc010puk,NM_012414
uc001iou,NM_003380
uc009xts,NM_001547
uc001kgr,NM_016195
uc001jth,NM_000917
uc001ldu,NM_003750
uc001lrq,NM_001004
uc001mgs,NM_000990
uc001mho,NM_006391
uc001mvu,NM_000610
uc001mxq,NM_016142
uc001owh,NM_001005
uc001pho,NM_001377
uc001pxx,NM_003105
uc001mmp,NM_001017
uc001ntm,NM_001404
uc001oyn,NM_016578
uc001ped,NM_024116
uc001peu,NM_005591
uc001pun,NM_001028
uc001pyo,NM_006597
uc001qop,NM_002046
uc001sbh,NM_001417
uc001scl,NM_002624
uc001sfm,NM_002136
uc001tve,NM_173542
uc001sxw,NM_139207
uc001ten,NM_000895
uc001ttu,NM_001024662
uc001txj,NM_001206999
uc001ura,NM_000982
uc001vne,NM_002271
uc001uzy,NM_003295
uc001wwm,NM_001032
uc002asd,NM_001003
uc002apv,NM_000968
uc002aty,NM_002654
uc002fnm,NM_000977
uc002dfi,NM_001030009
uc002hjq,NM_001030006
uc002hrq,NM_000981
uc002jjz,NM_000999
uc002glh,NM_000987
uc002hqx,NM_000978
uc002kui,NM_003831
uc002ldp,NM_000985
uc002mcv,NM_033643
uc002mjn,NM_001031
uc002nhp,NM_000980
uc002njr,NM_001033930
uc002ort,NM_001022
uc002phm,NM_015710
uc002pny,NM_012423
uc002pob,NM_001015
uc002qdx,NM_001013
uc010ygb,NM_001136134
uc002qsn,NM_001009
uc002lze,NM_001961
uc002olk,NM_001020
uc002pjq,NM_000979
uc002qxw,NM_001011
uc002ryk,NM_002954
uc002taq,NM_000993
uc010zdi,NM_172070
uc002vbh,NM_001959
uc002vgf,NM_000998
uc002rtr,NM_133259
uc002uih,NM_013341
uc002ycr,NM_001024
uc002xai,NM_000687
uc002yfe,NM_001958
uc002ymr,NM_015565
uc003auf,NM_016091
uc003axi,NM_000967
uc003aze,NM_003932
uc003cfl,NM_006371
uc003ckh,NM_001034996
uc003eya,NM_032025
uc003fyr,NM_000996
uc003bxm,NM_000994
uc003cvt,NM_000884
uc003cvx,NM_005051
uc003dcs,NM_000992
uc003dgq,NM_001064
uc003dvh,NM_000986
uc003fhc,NM_001099645
uc003hti,NM_006457
uc003hyz,NM_000995
uc003ilz,NM_001006
uc003gmz,NM_148894
uc003guc,NM_000661
uc003jet,NM_005885
uc003kdk,NM_014886
uc003mbi,NM_002520
uc003jme,NM_000997
uc003kfj,NM_003664
uc003khu,NM_001025
uc003kyp,NM_003374
uc003lsh,NM_001025071
uc003mni,NM_006098
uc003okp,NM_007104
uc003oxa,NM_007355
uc003qdx,NM_001016
uc003mxv,NM_030810
uc003ojm,NM_001203245
uc003phj,NM_001402
uc003vmi,NM_014390
uc003xsm,NM_001146227
uc003xzg,NM_000971
uc003ycj,NM_024699
uc003yif,NM_000989
uc003yjs,NM_002568
uc003ymu,NM_001568
uc003yoa,NM_003756
uc003yvn,NM_012154
uc003yyr,NM_032378
uc003zec,NM_000973
uc004cde,NM_000972
uc003znv,NM_001010
uc004bqy,NM_000976
uc004dbc,NM_001415
uc004dxw,NM_001551
uc004ehk,NM_021029
uc004erh,NM_001152
uc004fkm,NM_006013
uc004ear,NM_001007
uc004eoj,NM_004458
uc004erx,NM_001000
uc004fae,NM_002139
