"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0006342"	"chromatin silencing"	115	42	NA	"6.2e-25"
"2"	"GO:0000183"	"chromatin silencing at rDNA"	39	26	NA	"1.3e-24"
"3"	"GO:0006334"	"nucleosome assembly"	136	44	NA	"1.4e-23"
"4"	"GO:0045814"	"negative regulation of gene expression, ..."	131	43	NA	"2.4e-23"
"5"	"GO:0031497"	"chromatin assembly"	152	46	NA	"3.3e-23"
"6"	"GO:0006333"	"chromatin assembly or disassembly"	177	48	NA	"7.0e-22"
"7"	"GO:0034728"	"nucleosome organization"	163	46	NA	"8.3e-22"
"8"	"GO:0048731"	"system development"	4339	348	NA	"7.3e-21"
"9"	"GO:0044707"	"single-multicellular organism process"	5926	438	NA	"9.4e-21"
"10"	"GO:0006323"	"DNA packaging"	188	47	NA	"7.5e-20"
"11"	"GO:0007399"	"nervous system development"	2143	205	NA	"3.0e-19"
"12"	"GO:0007275"	"multicellular organism development"	4881	373	NA	"6.0e-19"
"13"	"GO:0006335"	"DNA replication-dependent nucleosome ass..."	32	20	NA	"2.2e-18"
"14"	"GO:0034723"	"DNA replication-dependent nucleosome org..."	32	20	NA	"2.2e-18"
"15"	"GO:0071103"	"DNA conformation change"	268	51	NA	"5.1e-16"
"16"	"GO:0051290"	"protein heterotetramerization"	44	21	NA	"5.9e-16"
"17"	"GO:0048856"	"anatomical structure development"	5310	386	NA	"6.6e-16"
"18"	"GO:0065004"	"protein-DNA complex assembly"	231	46	NA	"2.4e-15"
"19"	"GO:0022008"	"neurogenesis"	1407	142	NA	"5.0e-15"
"20"	"GO:0040029"	"regulation of gene expression, epigeneti..."	264	49	NA	"5.4e-15"
"21"	"GO:0048699"	"generation of neurons"	1311	135	NA	"5.6e-15"
"22"	"GO:2000026"	"regulation of multicellular organismal d..."	1664	159	NA	"1.1e-14"
"23"	"GO:0016458"	"gene silencing"	250	47	NA	"1.2e-14"
"24"	"GO:0071824"	"protein-DNA complex subunit organization"	260	48	NA	"1.3e-14"
"25"	"GO:0030182"	"neuron differentiation"	1192	125	NA	"1.8e-14"
"26"	"GO:0044767"	"single-organism developmental process"	5621	397	NA	"2.4e-14"
"27"	"GO:0032502"	"developmental process"	5706	400	NA	"6.1e-14"
