"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0046982"	"protein heterodimerization activity"	466	77	NA	"3.0e-20"
"2"	"GO:0003677"	"DNA binding"	2376	194	NA	"5.0e-12"
"3"	"GO:0099600"	"transmembrane receptor activity"	1244	116	NA	"1.2e-10"
"4"	"GO:0004872"	"receptor activity"	1546	135	NA	"2.6e-10"
"5"	"GO:0060089"	"molecular transducer activity"	1546	135	NA	"2.6e-10"
"6"	"GO:0046983"	"protein dimerization activity"	1161	109	NA	"3.1e-10"
"7"	"GO:0004935"	"adrenergic receptor activity"	10	8	NA	"1.9e-09"
"8"	"GO:0004888"	"transmembrane signaling receptor activit..."	1194	108	NA	"3.2e-09"
"9"	"GO:0038023"	"signaling receptor activity"	1299	114	NA	"6.2e-09"
"10"	"GO:0022843"	"voltage-gated cation channel activity"	131	25	NA	"1.0e-08"
"11"	"GO:0022836"	"gated channel activity"	326	43	NA	"1.1e-08"
"12"	"GO:0005249"	"voltage-gated potassium channel activity"	89	20	NA	"1.7e-08"
"13"	"GO:0005261"	"cation channel activity"	304	40	NA	"4.0e-08"
"14"	"GO:0000981"	"RNA polymerase II transcription factor a..."	675	68	NA	"6.4e-08"
"15"	"GO:0005267"	"potassium channel activity"	125	23	NA	"8.0e-08"
"16"	"GO:0005216"	"ion channel activity"	415	48	NA	"1.1e-07"
"17"	"GO:0005244"	"voltage-gated ion channel activity"	192	29	NA	"1.6e-07"
"18"	"GO:0022832"	"voltage-gated channel activity"	192	29	NA	"1.6e-07"
"19"	"GO:0022838"	"substrate-specific channel activity"	425	48	NA	"2.2e-07"
"20"	"GO:0042393"	"histone binding"	185	28	NA	"2.5e-07"
"21"	"GO:0015267"	"channel activity"	454	50	NA	"2.7e-07"
"22"	"GO:0043565"	"sequence-specific DNA binding"	950	85	NA	"2.9e-07"
"23"	"GO:0022803"	"passive transmembrane transporter activi..."	455	50	NA	"2.9e-07"
