"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0090304"	"nucleic acid metabolic process"	4915	351	NA	"3.0e-19"
"2"	"GO:0016070"	"RNA metabolic process"	4440	316	NA	"1.8e-16"
"3"	"GO:0051252"	"regulation of RNA metabolic process"	3619	269	NA	"7.2e-16"
"4"	"GO:0019219"	"regulation of nucleobase-containing comp..."	3969	288	NA	"8.9e-16"
"5"	"GO:1903506"	"regulation of nucleic acid-templated tra..."	3482	260	NA	"1.7e-15"
"6"	"GO:0006355"	"regulation of transcription, DNA-templat..."	3460	258	NA	"2.9e-15"
"7"	"GO:2001141"	"regulation of RNA biosynthetic process"	3501	260	NA	"3.5e-15"
"8"	"GO:0097659"	"nucleic acid-templated transcription"	3628	267	NA	"3.6e-15"
"9"	"GO:0006351"	"transcription, DNA-templated"	3611	266	NA	"3.8e-15"
"10"	"GO:0051171"	"regulation of nitrogen compound metaboli..."	4230	297	NA	"2.2e-14"
"11"	"GO:2000112"	"regulation of cellular macromolecule bio..."	3836	274	NA	"5.8e-14"
"12"	"GO:0032774"	"RNA biosynthetic process"	3745	269	NA	"5.9e-14"
"13"	"GO:0010556"	"regulation of macromolecule biosynthetic..."	3946	278	NA	"1.9e-13"
"14"	"GO:0006139"	"nucleobase-containing compound metabolic..."	5520	360	NA	"2.9e-13"
"15"	"GO:0010467"	"gene expression"	5051	335	NA	"4.7e-13"
"16"	"GO:0010468"	"regulation of gene expression"	4254	291	NA	"1.5e-12"
"17"	"GO:0044260"	"cellular macromolecule metabolic process"	7991	476	NA	"4.5e-12"
"18"	"GO:0046483"	"heterocycle metabolic process"	5681	363	NA	"4.7e-12"
"19"	"GO:0006725"	"cellular aromatic compound metabolic pro..."	5717	362	NA	"2.0e-11"
"20"	"GO:0031326"	"regulation of cellular biosynthetic proc..."	4136	278	NA	"5.6e-11"
"21"	"GO:0034654"	"nucleobase-containing compound biosynthe..."	4180	280	NA	"6.7e-11"
"22"	"GO:0009889"	"regulation of biosynthetic process"	4184	280	NA	"7.5e-11"
"23"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	4785	311	NA	"1.0e-10"
"24"	"GO:1901360"	"organic cyclic compound metabolic proces..."	5923	369	NA	"1.1e-10"
"25"	"GO:0018130"	"heterocycle biosynthetic process"	4242	280	NA	"3.6e-10"
"26"	"GO:0019438"	"aromatic compound biosynthetic process"	4248	280	NA	"4.2e-10"
"27"	"GO:0080090"	"regulation of primary metabolic process"	5565	346	NA	"1.1e-09"
"28"	"GO:0060255"	"regulation of macromolecule metabolic pr..."	5664	351	NA	"1.1e-09"
"29"	"GO:0009059"	"macromolecule biosynthetic process"	4947	314	NA	"1.4e-09"
"30"	"GO:1901362"	"organic cyclic compound biosynthetic pro..."	4379	283	NA	"2.7e-09"
"31"	"GO:0031323"	"regulation of cellular metabolic process"	5708	350	NA	"4.7e-09"
"32"	"GO:0034641"	"cellular nitrogen compound metabolic pro..."	6140	371	NA	"6.2e-09"
"33"	"GO:0043170"	"macromolecule metabolic process"	8625	489	NA	"1.3e-08"
"34"	"GO:0006807"	"nitrogen compound metabolic process"	6580	387	NA	"6.9e-08"
"35"	"GO:0019222"	"regulation of metabolic process"	6108	363	NA	"9.1e-08"
"36"	"GO:0044271"	"cellular nitrogen compound biosynthetic ..."	4718	292	NA	"1.2e-07"
