"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0006334"	"nucleosome assembly"	136	44	NA	"5.6e-24"
"2"	"GO:0031497"	"chromatin assembly"	152	46	NA	"1.3e-23"
"3"	"GO:0034728"	"nucleosome organization"	163	46	NA	"3.2e-22"
"4"	"GO:0006333"	"chromatin assembly or disassembly"	177	47	NA	"1.9e-21"
"5"	"GO:0006323"	"DNA packaging"	188	47	NA	"2.9e-20"
"6"	"GO:0071103"	"DNA conformation change"	268	53	NA	"8.7e-18"
"7"	"GO:0065004"	"protein-DNA complex assembly"	231	48	NA	"4.0e-17"
"8"	"GO:0006335"	"DNA replication-dependent nucleosome ass..."	32	19	NA	"4.2e-17"
"9"	"GO:0034723"	"DNA replication-dependent nucleosome org..."	32	19	NA	"4.2e-17"
"10"	"GO:0071824"	"protein-DNA complex subunit organization"	260	50	NA	"2.5e-16"
"11"	"GO:0000183"	"chromatin silencing at rDNA"	39	20	NA	"3.1e-16"
"12"	"GO:0051290"	"protein heterotetramerization"	44	20	NA	"6.2e-15"
"13"	"GO:0051291"	"protein heterooligomerization"	118	30	NA	"1.3e-13"
"14"	"GO:0006342"	"chromatin silencing"	115	28	NA	"2.7e-12"
"15"	"GO:0043588"	"skin development"	398	56	NA	"4.2e-12"
"16"	"GO:0045814"	"negative regulation of gene expression, ..."	131	29	NA	"1.4e-11"
"17"	"GO:0031424"	"keratinization"	218	37	NA	"9.5e-11"
"18"	"GO:0044707"	"single-multicellular organism process"	5926	389	NA	"1.2e-10"
"19"	"GO:0045815"	"positive regulation of gene expression, ..."	80	21	NA	"3.2e-10"
"20"	"GO:0030216"	"keratinocyte differentiation"	286	42	NA	"5.7e-10"
"21"	"GO:0008544"	"epidermis development"	441	54	NA	"2.0e-09"
"22"	"GO:0048731"	"system development"	4339	296	NA	"2.6e-09"
"23"	"GO:0009913"	"epidermal cell differentiation"	335	44	NA	"7.7e-09"
"24"	"GO:0048513"	"animal organ development"	3181	227	NA	"1.3e-08"
"25"	"GO:0051259"	"protein oligomerization"	477	54	NA	"3.1e-08"
"26"	"GO:0045653"	"negative regulation of megakaryocyte dif..."	18	9	NA	"7.2e-08"
"27"	"GO:0032200"	"telomere organization"	160	26	NA	"1.5e-07"
"28"	"GO:0043269"	"regulation of ion transport"	583	60	NA	"1.6e-07"
"29"	"GO:0060429"	"epithelium development"	1200	102	NA	"1.7e-07"
"30"	"GO:0009888"	"tissue development"	1840	142	NA	"1.9e-07"
"31"	"GO:0040029"	"regulation of gene expression, epigeneti..."	264	35	NA	"2.1e-07"
"32"	"GO:0051172"	"negative regulation of nitrogen compound..."	1489	120	NA	"2.2e-07"
"33"	"GO:0032501"	"multicellular organismal process"	6876	421	NA	"2.3e-07"
"34"	"GO:0030154"	"cell differentiation"	3699	250	NA	"2.4e-07"
"35"	"GO:0007275"	"multicellular organism development"	4881	315	NA	"2.6e-07"
"36"	"GO:0031047"	"gene silencing by RNA"	158	25	NA	"4.2e-07"
"37"	"GO:0045934"	"negative regulation of nucleobase-contai..."	1349	110	NA	"4.3e-07"
"38"	"GO:0016458"	"gene silencing"	250	33	NA	"5.2e-07"
"39"	"GO:0051262"	"protein tetramerization"	139	23	NA	"5.4e-07"
"40"	"GO:0042303"	"molting cycle"	109	20	NA	"5.4e-07"
"41"	"GO:0042633"	"hair cycle"	109	20	NA	"5.4e-07"
"42"	"GO:0009890"	"negative regulation of biosynthetic proc..."	1468	117	NA	"5.7e-07"
"43"	"GO:0045109"	"intermediate filament organization"	22	9	NA	"6.1e-07"
"44"	"GO:0006811"	"ion transport"	1503	119	NA	"6.3e-07"
"45"	"GO:0045104"	"intermediate filament cytoskeleton organ..."	42	12	NA	"7.6e-07"
"46"	"GO:0030855"	"epithelial cell differentiation"	713	67	NA	"8.9e-07"
"47"	"GO:0045103"	"intermediate filament-based process"	43	12	NA	"1.0e-06"
"48"	"GO:0034765"	"regulation of ion transmembrane transpor..."	400	44	NA	"1.3e-06"
"49"	"GO:0007187"	"G-protein coupled receptor signaling pat..."	179	26	NA	"1.4e-06"
"50"	"GO:0031327"	"negative regulation of cellular biosynth..."	1447	114	NA	"1.4e-06"
"51"	"GO:0034762"	"regulation of transmembrane transport"	415	45	NA	"1.5e-06"
"52"	"GO:0051239"	"regulation of multicellular organismal p..."	2582	182	NA	"1.5e-06"
"53"	"GO:0098655"	"cation transmembrane transport"	738	68	NA	"1.5e-06"
"54"	"GO:0045892"	"negative regulation of transcription, DN..."	1103	92	NA	"1.6e-06"
"55"	"GO:0051093"	"negative regulation of developmental pro..."	801	72	NA	"1.8e-06"
"56"	"GO:2000113"	"negative regulation of cellular macromol..."	1294	104	NA	"1.8e-06"
"57"	"GO:0071880"	"adenylate cyclase-activating adrenergic ..."	14	7	NA	"2.2e-06"
"58"	"GO:0051253"	"negative regulation of RNA metabolic pro..."	1206	98	NA	"2.3e-06"
"59"	"GO:0045596"	"negative regulation of cell differentiat..."	609	58	NA	"3.2e-06"
"60"	"GO:1903507"	"negative regulation of nucleic acid-temp..."	1143	93	NA	"4.1e-06"
"61"	"GO:1902679"	"negative regulation of RNA biosynthetic ..."	1159	94	NA	"4.1e-06"
"62"	"GO:0048869"	"cellular developmental process"	3869	252	NA	"4.5e-06"
"63"	"GO:2000026"	"regulation of multicellular organismal d..."	1664	125	NA	"4.8e-06"
"64"	"GO:0002227"	"innate immune response in mucosa"	21	8	NA	"5.0e-06"
"65"	"GO:0006325"	"chromatin organization"	721	65	NA	"5.2e-06"
"66"	"GO:0010558"	"negative regulation of macromolecule bio..."	1375	107	NA	"5.5e-06"
"67"	"GO:0031055"	"chromatin remodeling at centromere"	43	11	NA	"7.3e-06"
"68"	"GO:0007200"	"phospholipase C-activating G-protein cou..."	108	18	NA	"8.2e-06"
"69"	"GO:0045652"	"regulation of megakaryocyte differentiat..."	29	9	NA	"8.9e-06"
"70"	"GO:0007188"	"adenylate cyclase-modulating G-protein c..."	152	22	NA	"9.2e-06"
"71"	"GO:0048856"	"anatomical structure development"	5310	328	NA	"9.8e-06"
"72"	"GO:0006813"	"potassium ion transport"	224	28	NA	"1.1e-05"
"73"	"GO:0007610"	"behavior"	548	52	NA	"1.2e-05"
"74"	"GO:0044767"	"single-organism developmental process"	5621	344	NA	"1.2e-05"
"75"	"GO:0007267"	"cell-cell signaling"	1518	114	NA	"1.4e-05"
"76"	"GO:0006812"	"cation transport"	1035	84	NA	"1.4e-05"
"77"	"GO:0034220"	"ion transmembrane transport"	1006	82	NA	"1.5e-05"
"78"	"GO:0060968"	"regulation of gene silencing"	64	13	NA	"1.7e-05"
"79"	"GO:0034080"	"CENP-A containing nucleosome assembly"	39	10	NA	"1.9e-05"
"80"	"GO:0061641"	"CENP-A containing chromatin organization"	39	10	NA	"1.9e-05"
"81"	"GO:0032502"	"developmental process"	5706	347	NA	"1.9e-05"
"82"	"GO:0006336"	"DNA replication-independent nucleosome a..."	50	11	NA	"3.4e-05"
"83"	"GO:0043486"	"histone exchange"	50	11	NA	"3.4e-05"
"84"	"GO:0071804"	"cellular potassium ion transport"	189	24	NA	"3.4e-05"
"85"	"GO:0071805"	"potassium ion transmembrane transport"	189	24	NA	"3.4e-05"
"86"	"GO:0050878"	"regulation of body fluid levels"	500	47	NA	"3.9e-05"
"87"	"GO:0034508"	"centromere complex assembly"	51	11	NA	"4.1e-05"
"88"	"GO:0034724"	"DNA replication-independent nucleosome o..."	51	11	NA	"4.1e-05"
"89"	"GO:1904837"	"beta-catenin-TCF complex assembly"	43	10	NA	"4.6e-05"
"90"	"GO:0045777"	"positive regulation of blood pressure"	35	9	NA	"4.7e-05"
"91"	"GO:0007268"	"chemical synaptic transmission"	579	52	NA	"5.1e-05"
"92"	"GO:0098916"	"anterograde trans-synaptic signaling"	579	52	NA	"5.1e-05"
"93"	"GO:0009611"	"response to wounding"	624	55	NA	"5.2e-05"
"94"	"GO:0010629"	"negative regulation of gene expression"	1616	117	NA	"5.2e-05"
"95"	"GO:0051241"	"negative regulation of multicellular org..."	979	78	NA	"5.3e-05"
"96"	"GO:0042060"	"wound healing"	521	48	NA	"5.3e-05"
"97"	"GO:0071875"	"adrenergic receptor signaling pathway"	21	7	NA	"5.4e-05"
"98"	"GO:0099536"	"synaptic signaling"	581	52	NA	"5.6e-05"
