"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0000786"	"nucleosome"	102	49	NA	"< 1e-30"
"2"	"GO:0044815"	"DNA packaging complex"	109	49	NA	"< 1e-30"
"3"	"GO:0032993"	"protein-DNA complex"	188	55	NA	"1.2e-27"
"4"	"GO:0000788"	"nuclear nucleosome"	37	23	NA	"2.6e-21"
"5"	"GO:0005882"	"intermediate filament"	187	44	NA	"2.6e-18"
"6"	"GO:0000785"	"chromatin"	466	68	NA	"1.1e-15"
"7"	"GO:0045111"	"intermediate filament cytoskeleton"	221	44	NA	"2.0e-15"
"8"	"GO:0045095"	"keratin filament"	93	28	NA	"4.6e-15"
"9"	"GO:0000784"	"nuclear chromosome, telomeric region"	125	28	NA	"1.4e-11"
"10"	"GO:0031012"	"extracellular matrix"	512	63	NA	"2.8e-11"
"11"	"GO:0044427"	"chromosomal part"	800	81	NA	"7.8e-10"
"12"	"GO:0000781"	"chromosome, telomeric region"	160	28	NA	"5.7e-09"
"13"	"GO:0000790"	"nuclear chromatin"	303	41	NA	"5.7e-09"
"14"	"GO:0099512"	"supramolecular fiber"	852	82	NA	"6.5e-09"
"15"	"GO:0031226"	"intrinsic component of plasma membrane"	1572	129	NA	"7.0e-09"
"16"	"GO:0099081"	"supramolecular polymer"	859	82	NA	"9.5e-09"
"17"	"GO:0099080"	"supramolecular complex"	860	82	NA	"1.0e-08"
"18"	"GO:0005887"	"integral component of plasma membrane"	1510	122	NA	"4.7e-08"
"19"	"GO:0005694"	"chromosome"	906	83	NA	"4.9e-08"
"20"	"GO:0044454"	"nuclear chromosome part"	482	53	NA	"5.3e-08"
"21"	"GO:0000228"	"nuclear chromosome"	514	54	NA	"1.8e-07"
"22"	"GO:0099513"	"polymeric cytoskeletal fiber"	641	63	NA	"1.9e-07"
"23"	"GO:0008076"	"voltage-gated potassium channel complex"	88	18	NA	"2.7e-07"
"24"	"GO:0034705"	"potassium channel complex"	91	18	NA	"4.6e-07"
"25"	"GO:0034702"	"ion channel complex"	276	34	NA	"1.1e-06"
"26"	"GO:0034703"	"cation channel complex"	199	26	NA	"6.7e-06"
"27"	"GO:0044459"	"plasma membrane part"	2469	167	NA	"1.5e-05"
"28"	"GO:1902495"	"transmembrane transporter complex"	312	34	NA	"1.6e-05"
"29"	"GO:0005615"	"extracellular space"	1365	102	NA	"2.1e-05"
"30"	"GO:0098687"	"chromosomal region"	330	35	NA	"2.2e-05"
"31"	"GO:1990351"	"transporter complex"	318	34	NA	"2.4e-05"
"32"	"GO:0044421"	"extracellular region part"	3683	232	NA	"3.2e-05"
