"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"1"	"GO:0006996"	"organelle organization"	3535	235	NA	"2.9e-07"
"2"	"GO:0043547"	"positive regulation of GTPase activity"	634	60	NA	"1.2e-06"
"3"	"GO:0043087"	"regulation of GTPase activity"	687	61	NA	"7.4e-06"
"4"	"GO:0051345"	"positive regulation of hydrolase activit..."	920	76	NA	"7.9e-06"
"5"	"GO:0010467"	"gene expression"	5051	307	NA	"9.3e-06"
"6"	"GO:0016043"	"cellular component organization"	5768	343	NA	"1.4e-05"
"7"	"GO:0051336"	"regulation of hydrolase activity"	1312	99	NA	"1.6e-05"
"8"	"GO:0071840"	"cellular component organization or bioge..."	5961	352	NA	"1.9e-05"
"9"	"GO:0016070"	"RNA metabolic process"	4440	269	NA	"6.6e-05"
"10"	"GO:0044093"	"positive regulation of molecular functio..."	1844	127	NA	"7.0e-05"
"11"	"GO:0090304"	"nucleic acid metabolic process"	4915	292	NA	"0.00012"
"12"	"GO:0007010"	"cytoskeleton organization"	1116	83	NA	"0.00013"
"13"	"GO:0050790"	"regulation of catalytic activity"	2316	152	NA	"0.00014"
"14"	"GO:0051056"	"regulation of small GTPase mediated sign..."	294	30	NA	"0.00015"
"15"	"GO:0043085"	"positive regulation of catalytic activit..."	1554	108	NA	"0.00019"
"16"	"GO:0065009"	"regulation of molecular function"	2865	181	NA	"0.00021"
"17"	"GO:0006396"	"RNA processing"	875	66	NA	"0.00044"
"18"	"GO:0016569"	"covalent chromatin modification"	523	44	NA	"0.00045"
"19"	"GO:1902589"	"single-organism organelle organization"	1558	106	NA	"0.00047"
"20"	"GO:0006139"	"nucleobase-containing compound metabolic..."	5520	318	NA	"0.00052"
"21"	"GO:0048010"	"vascular endothelial growth factor recep..."	91	13	NA	"0.00054"
"22"	"GO:0046483"	"heterocycle metabolic process"	5681	326	NA	"0.00056"
"23"	"GO:0000226"	"microtubule cytoskeleton organization"	424	37	NA	"0.00064"
"24"	"GO:0007017"	"microtubule-based process"	615	49	NA	"0.00075"
"25"	"GO:0070076"	"histone lysine demethylation"	24	6	NA	"0.00092"
"26"	"GO:0046578"	"regulation of Ras protein signal transdu..."	199	21	NA	"0.00093"
"27"	"GO:0051276"	"chromosome organization"	1120	79	NA	"0.00094"
"28"	"GO:0007028"	"cytoplasm organization"	10	4	NA	"0.00100"
