day,viability,cellline,samplelabel,sterr
0,1,WT,Rich,0.031223412
0,1,WT,-Leu,0.020194726
0,1,WT,-Arg,0.014719607
0,1,GCN2 KO,Rich,0.014738127
0,1,GCN2 KO,-Leu,0.050226903
0,1,GCN2 KO,-Arg,0.010962961
1,2.630058783,WT,Rich,0.072378127
1,1.650269745,WT,-Leu,0.035093328
1,1.18988874,WT,-Arg,0.071281155
1,2.22873833,GCN2 KO,Rich,0.069366422
1,1.532987914,GCN2 KO,-Leu,0.064567092
1,1.247072054,GCN2 KO,-Arg,0.01135641
2,6.565736083,WT,Rich,0.154310639
2,1.830865632,WT,-Leu,0.033657754
2,1.250474245,WT,-Arg,0.050292788
2,4.672536521,GCN2 KO,Rich,0.082410073
2,1.714168357,GCN2 KO,-Leu,0.065942851
2,1.302727867,GCN2 KO,-Arg,0.014624411
3,13.32850904,WT,Rich,0.296030434
3,1.852434698,WT,-Leu,0.034372646
3,1.323205284,WT,-Arg,0.028221731
3,8.333268274,GCN2 KO,Rich,0.096454963
3,1.855321502,GCN2 KO,-Leu,0.069202863
3,1.265957892,GCN2 KO,-Arg,0.021318278
4,16.8927525,WT,Rich,0.383444108
4,1.914273019,WT,-Leu,0.03263021
4,1.272551497,WT,-Arg,0.040194135
4,9.997122861,GCN2 KO,Rich,0.106175408
4,1.700519747,GCN2 KO,-Leu,0.062369873
4,1.247670982,GCN2 KO,-Arg,0.01509481
5,1.813190542,WT,-Leu,0.033907044
5,1.306238093,WT,-Arg,0.023674146
5,1.695885041,GCN2 KO,-Leu,0.068439891
5,1.126930823,GCN2 KO,-Arg,0.021228714
6,1.849670779,WT,-Leu,0.045033768
6,1.290245795,WT,-Arg,0.025208549
6,1.637707034,GCN2 KO,-Leu,0.059754129
6,1.00025206,GCN2 KO,-Arg,0.022196916
7,1.797341739,WT,-Leu,0.029510881
7,1.242642608,WT,-Arg,0.022534176
7,1.572213112,GCN2 KO,-Leu,0.056390192
7,0.876422126,GCN2 KO,-Arg,0.016393781
10,1.762107016,WT,-Leu,0.040959685
10,0.969692015,WT,-Arg,0.016210172
10,1.420412757,GCN2 KO,-Leu,0.051135994
10,0.546321433,GCN2 KO,-Arg,0.014070531
13,1.820530673,WT,-Leu,0.131191861
13,0.526848132,WT,-Arg,0.021313073
13,1.050072933,GCN2 KO,-Leu,0.053686993
13,0.176338433,GCN2 KO,-Arg,0.019229885
