file	codonmutation	samplelabel	time	replicate
Specimen_001_Tube_001_001	WT-CTA8	Rich	12	1
Specimen_001_Tube_002_002	WT-CTA8	-Leu	12	1
Specimen_001_Tube_003_003	WT-CTA4TTG4	Rich	12	1
Specimen_001_Tube_004_004	WT-CTA4TTG4	-Leu	12	1
Specimen_001_Tube_005_005	WT-CTA6TTG2	Rich	12	1
Specimen_001_Tube_006_006	WT-CTA6TTG2	-Leu	12	1
Specimen_001_Tube_009_009	WT-TTG8	Rich	12	1
Specimen_001_Tube_010_010	WT-TTG8	-Leu	12	1
Specimen_001_Tube_011_011	GCN2KO-CTA8	Rich	12	1
Specimen_001_Tube_012_012	GCN2KO-CTA8	-Leu	12	1
Specimen_001_Tube_013_013	GCN2KO-CTA4TTG4	Rich	12	1
Specimen_001_Tube_014_014	GCN2KO-CTA4TTG4	-Leu	12	1
Specimen_001_Tube_015_015	GCN2KO-CTA6TTG2	Rich	12	1
Specimen_001_Tube_016_016	GCN2KO-CTA6TTG2	-Leu	12	1
Specimen_001_Tube_019_019	GCN2KO-TTG8	Rich	12	1
Specimen_001_Tube_020_020	GCN2KO-TTG8	-Leu	12	1
Specimen_002_Tube_001_021	WT-CTA8	Rich	24	1
Specimen_002_Tube_002_022	WT-CTA8	-Leu	24	1
Specimen_002_Tube_003_023	WT-CTA4TTG4	Rich	24	1
Specimen_002_Tube_004_024	WT-CTA4TTG4	-Leu	24	1
Specimen_002_Tube_005_025	WT-CTA6TTG2	Rich	24	1
Specimen_002_Tube_006_026	WT-CTA6TTG2	-Leu	24	1
Specimen_002_Tube_009_029	WT-TTG8	Rich	24	1
Specimen_002_Tube_010_030	WT-TTG8	-Leu	24	1
Specimen_002_Tube_011_031	GCN2KO-CTA8	Rich	24	1
Specimen_002_Tube_012_032	GCN2KO-CTA8	-Leu	24	1
Specimen_002_Tube_013_033	GCN2KO-CTA4TTG4	Rich	24	1
Specimen_002_Tube_014_034	GCN2KO-CTA4TTG4	-Leu	24	1
Specimen_002_Tube_015_035	GCN2KO-CTA6TTG2	Rich	24	1
Specimen_002_Tube_016_036	GCN2KO-CTA6TTG2	-Leu	24	1
Specimen_002_Tube_019_039	GCN2KO-TTG8	Rich	24	1
Specimen_002_Tube_020_040	GCN2KO-TTG8	-Leu	24	1
Specimen_003_Tube_001_041	WT-CTA8	Rich	48	1
Specimen_003_Tube_002_042	WT-CTA8	-Leu	48	1
Specimen_003_Tube_003_043	WT-CTA4TTG4	Rich	48	1
Specimen_003_Tube_004_044	WT-CTA4TTG4	-Leu	48	1
Specimen_003_Tube_005_045	WT-CTA6TTG2	Rich	48	1
Specimen_003_Tube_006_046	WT-CTA6TTG2	-Leu	48	1
Specimen_003_Tube_009_049	WT-TTG8	Rich	48	1
Specimen_003_Tube_010_050	WT-TTG8	-Leu	48	1
Specimen_003_Tube_011_051	GCN2KO-CTA8	Rich	48	1
Specimen_003_Tube_012_052	GCN2KO-CTA8	-Leu	48	1
Specimen_003_Tube_013_053	GCN2KO-CTA4TTG4	Rich	48	1
Specimen_003_Tube_014_054	GCN2KO-CTA4TTG4	-Leu	48	1
Specimen_003_Tube_015_055	GCN2KO-CTA6TTG2	Rich	48	1
Specimen_003_Tube_016_056	GCN2KO-CTA6TTG2	-Leu	48	1
Specimen_003_Tube_019_059	GCN2KO-TTG8	Rich	48	1
Specimen_003_Tube_020_060	GCN2KO-TTG8	-Leu	48	1
