file	codonmutation	samplelabel	time	replicate
Specimen_001_Tube_001	WT	Rich	12	1
Specimen_001_Tube_002	WT	-Leu	12	1
Specimen_001_Tube_003	WT	-Arg	12	1
Specimen_001_Tube_004	CTA	Rich	12	1
Specimen_001_Tube_005	CTA	-Leu	12	1
Specimen_001_Tube_006	CTA	-Arg	12	1
Specimen_001_Tube_007	CTC	Rich	12	1
Specimen_001_Tube_008	CTC	-Leu	12	1
Specimen_001_Tube_009	CTC	-Arg	12	1
Specimen_001_Tube_010	CTT	Rich	12	1
Specimen_001_Tube_011	CTT	-Leu	12	1
Specimen_001_Tube_012	CTT	-Arg	12	1
Specimen_001_Tube_013	TTA	Rich	12	1
Specimen_001_Tube_014	TTA	-Leu	12	1
Specimen_001_Tube_015	TTA	-Arg	12	1
Specimen_001_Tube_016	TTG	Rich	12	1
Specimen_001_Tube_017	TTG	-Leu	12	1
Specimen_001_Tube_018	TTG	-Arg	12	1
Specimen_002_Tube_001	WT	Rich	24	1
Specimen_002_Tube_002	WT	-Leu	24	1
Specimen_002_Tube_003	WT	-Arg	24	1
Specimen_002_Tube_004	CTA	Rich	24	1
Specimen_002_Tube_005	CTA	-Leu	24	1
Specimen_002_Tube_006	CTA	-Arg	24	1
Specimen_002_Tube_007	CTC	Rich	24	1
Specimen_002_Tube_008	CTC	-Leu	24	1
Specimen_002_Tube_009	CTC	-Arg	24	1
Specimen_002_Tube_010	CTT	Rich	24	1
Specimen_002_Tube_011	CTT	-Leu	24	1
Specimen_002_Tube_012	CTT	-Arg	24	1
Specimen_002_Tube_013	TTA	Rich	24	1
Specimen_002_Tube_014	TTA	-Leu	24	1
Specimen_002_Tube_015	TTA	-Arg	24	1
Specimen_002_Tube_016	TTG	Rich	24	1
Specimen_002_Tube_017	TTG	-Leu	24	1
Specimen_002_Tube_018	TTG	-Arg	24	1
Specimen_003_Tube_001	WT	Rich	48	1
Specimen_003_Tube_002	WT	-Leu	48	1
Specimen_003_Tube_003	WT	-Arg	48	1
Specimen_003_Tube_004	CTA	Rich	48	1
Specimen_003_Tube_005	CTA	-Leu	48	1
Specimen_003_Tube_006	CTA	-Arg	48	1
Specimen_003_Tube_007	CTC	Rich	48	1
Specimen_003_Tube_008	CTC	-Leu	48	1
Specimen_003_Tube_009	CTC	-Arg	48	1
Specimen_003_Tube_010	CTT	Rich	48	1
Specimen_003_Tube_011	CTT	-Leu	48	1
Specimen_003_Tube_012	CTT	-Arg	48	1
Specimen_003_Tube_013	TTA	Rich	48	1
Specimen_003_Tube_014	TTA	-Leu	48	1
Specimen_003_Tube_015	TTA	-Arg	48	1
Specimen_003_Tube_016	TTG	Rich	48	1
Specimen_003_Tube_017	TTG	-Leu	48	1
Specimen_003_Tube_018	TTG	-Arg	48	1
