file	codonmutation	samplelabel	time	replicate
Specimen_001_Tube_001	WT	Rich	12	1
Specimen_001_Tube_002	WT	-Leu	12	1
Specimen_001_Tube_003	WT	-Arg	12	1
Specimen_001_Tube_004	CGG	Rich	12	1
Specimen_001_Tube_005	CGG	-Leu	12	1
Specimen_001_Tube_006	CGG	-Arg	12	1
Specimen_001_Tube_007	CGA	Rich	12	1
Specimen_001_Tube_008	CGA	-Leu	12	1
Specimen_001_Tube_009	CGA	-Arg	12	1
Specimen_001_Tube_010	CGT	Rich	12	1
Specimen_001_Tube_011	CGT	-Leu	12	1
Specimen_001_Tube_012	CGT	-Arg	12	1
Specimen_001_Tube_013	AGA	Rich	12	1
Specimen_001_Tube_014	AGA	-Leu	12	1
Specimen_001_Tube_015	AGA	-Arg	12	1
Specimen_001_Tube_016	AGG	Rich	12	1
Specimen_001_Tube_017	AGG	-Leu	12	1
Specimen_001_Tube_018	AGG	-Arg	12	1
Specimen_002_Tube_001	WT	Rich	24	1
Specimen_002_Tube_002	WT	-Leu	24	1
Specimen_002_Tube_003	WT	-Arg	24	1
Specimen_002_Tube_004	CGG	Rich	24	1
Specimen_002_Tube_005	CGG	-Leu	24	1
Specimen_002_Tube_006	CGG	-Arg	24	1
Specimen_002_Tube_007	CGA	Rich	24	1
Specimen_002_Tube_008	CGA	-Leu	24	1
Specimen_002_Tube_009	CGA	-Arg	24	1
Specimen_002_Tube_010	CGT	Rich	24	1
Specimen_002_Tube_011	CGT	-Leu	24	1
Specimen_002_Tube_012	CGT	-Arg	24	1
Specimen_002_Tube_013	AGA	Rich	24	1
Specimen_002_Tube_014	AGA	-Leu	24	1
Specimen_002_Tube_015	AGA	-Arg	24	1
Specimen_002_Tube_016	AGG	Rich	24	1
Specimen_002_Tube_017	AGG	-Leu	24	1
Specimen_002_Tube_018	AGG	-Arg	24	1
Specimen_003_Tube_001	WT	Rich	48	1
Specimen_003_Tube_002	WT	-Leu	48	1
Specimen_003_Tube_003	WT	-Arg	48	1
Specimen_003_Tube_004	CGG	Rich	48	1
Specimen_003_Tube_005	CGG	-Leu	48	1
Specimen_003_Tube_006	CGG	-Arg	48	1
Specimen_003_Tube_007	CGA	Rich	48	1
Specimen_003_Tube_008	CGA	-Leu	48	1
Specimen_003_Tube_009	CGA	-Arg	48	1
Specimen_003_Tube_010	CGT	Rich	48	1
Specimen_003_Tube_011	CGT	-Leu	48	1
Specimen_003_Tube_012	CGT	-Arg	48	1
Specimen_003_Tube_013	AGA	Rich	48	1
Specimen_003_Tube_014	AGA	-Leu	48	1
Specimen_003_Tube_015	AGA	-Arg	48	1
Specimen_003_Tube_016	AGG	Rich	48	1
Specimen_003_Tube_017	AGG	-Leu	48	1
Specimen_003_Tube_018	AGG	-Arg	48	1
