file	codonmutation	samplelabel	time	replicate
Specimen_001_Tube_019_019	WT	Rich	12	1
Specimen_001_Tube_020_020	WT	-Leu	12	1
Specimen_001_Tube_021_021	WT	-Arg	12	1
Specimen_001_Tube_022_022	CTA	Rich	12	1
Specimen_001_Tube_023_023	CTA	-Leu	12	1
Specimen_001_Tube_024_024	CTA	-Arg	12	1
Specimen_001_Tube_025_025	CTC	Rich	12	1
Specimen_001_Tube_026_026	CTC	-Leu	12	1
Specimen_001_Tube_027_027	CTC	-Arg	12	1
Specimen_001_Tube_028_028	CTT	Rich	12	1
Specimen_001_Tube_029_029	CTT	-Leu	12	1
Specimen_001_Tube_030_030	CTT	-Arg	12	1
Specimen_001_Tube_031_031	TTA	Rich	12	1
Specimen_001_Tube_032_032	TTA	-Leu	12	1
Specimen_001_Tube_033_033	TTA	-Arg	12	1
Specimen_001_Tube_034_034	TTG	Rich	12	1
Specimen_001_Tube_035_035	TTG	-Leu	12	1
Specimen_001_Tube_036_036	TTG	-Arg	12	1
Specimen_002_Tube_019_061	WT	Rich	24	1
Specimen_002_Tube_020_062	WT	-Leu	24	1
Specimen_002_Tube_021_063	WT	-Arg	24	1
Specimen_002_Tube_022_064	CTA	Rich	24	1
Specimen_002_Tube_023_065	CTA	-Leu	24	1
Specimen_002_Tube_024_066	CTA	-Arg	24	1
Specimen_002_Tube_025_067	CTC	Rich	24	1
Specimen_002_Tube_026_068	CTC	-Leu	24	1
Specimen_002_Tube_027_069	CTC	-Arg	24	1
Specimen_002_Tube_028_070	CTT	Rich	24	1
Specimen_002_Tube_029_071	CTT	-Leu	24	1
Specimen_002_Tube_030_072	CTT	-Arg	24	1
Specimen_002_Tube_031_073	TTA	Rich	24	1
Specimen_002_Tube_032_074	TTA	-Leu	24	1
Specimen_002_Tube_033_075	TTA	-Arg	24	1
Specimen_002_Tube_034_076	TTG	Rich	24	1
Specimen_002_Tube_035_077	TTG	-Leu	24	1
Specimen_002_Tube_036_078	TTG	-Arg	24	1
Specimen_003_Tube_019_085	WT	Rich	48	1
Specimen_003_Tube_020_086	WT	-Leu	48	1
Specimen_003_Tube_021_087	WT	-Arg	48	1
Specimen_003_Tube_022_088	CTA	Rich	48	1
Specimen_003_Tube_023_089	CTA	-Leu	48	1
Specimen_003_Tube_024_090	CTA	-Arg	48	1
Specimen_003_Tube_025_091	CTC	Rich	48	1
Specimen_003_Tube_026_092	CTC	-Leu	48	1
Specimen_003_Tube_027_093	CTC	-Arg	48	1
Specimen_003_Tube_028_094	CTT	Rich	48	1
Specimen_003_Tube_029_095	CTT	-Leu	48	1
Specimen_003_Tube_030_096	CTT	-Arg	48	1
Specimen_003_Tube_031_097	TTA	Rich	48	1
Specimen_003_Tube_032_098	TTA	-Leu	48	1
Specimen_003_Tube_033_099	TTA	-Arg	48	1
Specimen_003_Tube_034_100	TTG	Rich	48	1
Specimen_003_Tube_035_101	TTG	-Leu	48	1
Specimen_003_Tube_036_102	TTG	-Arg	48	1
