file	codonmutation	samplelabel	time	tmp	replicate
Specimen_001_Tube_001	WT	Rich	3	TMP	1
Specimen_001_Tube_002	WT	-Leu	3	TMP	1
Specimen_001_Tube_003	WT	-Arg	3	TMP	1
Specimen_001_Tube_004	CGG	Rich	3	TMP	1
Specimen_001_Tube_005	CGG	-Leu	3	TMP	1
Specimen_001_Tube_006	CGG	-Arg	3	TMP	1
Specimen_001_Tube_007	WT	Rich	3	NOTMP	1
Specimen_001_Tube_008	WT	-Leu	3	NOTMP	1
Specimen_001_Tube_009	WT	-Arg	3	NOTMP	1
Specimen_001_Tube_010	CGG	Rich	3	NOTMP	1
Specimen_001_Tube_011	CGG	-Leu	3	NOTMP	1
Specimen_001_Tube_012	CGG	-Arg	3	NOTMP	1
Specimen_002_Tube_001	WT	Rich	6	TMP	1
Specimen_002_Tube_002	WT	-Leu	6	TMP	1
Specimen_002_Tube_003	WT	-Arg	6	TMP	1
Specimen_002_Tube_004	CGG	Rich	6	TMP	1
Specimen_002_Tube_005	CGG	-Leu	6	TMP	1
Specimen_002_Tube_006	CGG	-Arg	6	TMP	1
Specimen_002_Tube_007	WT	Rich	6	NOTMP	1
Specimen_002_Tube_008	WT	-Leu	6	NOTMP	1
Specimen_002_Tube_009	WT	-Arg	6	NOTMP	1
Specimen_002_Tube_010	CGG	Rich	6	NOTMP	1
Specimen_002_Tube_011	CGG	-Leu	6	NOTMP	1
Specimen_002_Tube_012	CGG	-Arg	6	NOTMP	1
Specimen_003_Tube_001	WT	Rich	9	TMP	1
Specimen_003_Tube_002	WT	-Leu	9	TMP	1
Specimen_003_Tube_003	WT	-Arg	9	TMP	1
Specimen_003_Tube_004	CGG	Rich	9	TMP	1
Specimen_003_Tube_005	CGG	-Leu	9	TMP	1
Specimen_003_Tube_006	CGG	-Arg	9	TMP	1
Specimen_003_Tube_007	WT	Rich	9	NOTMP	1
Specimen_003_Tube_008	WT	-Leu	9	NOTMP	1
Specimen_003_Tube_009	WT	-Arg	9	NOTMP	1
Specimen_003_Tube_010	CGG	Rich	9	NOTMP	1
Specimen_003_Tube_011	CGG	-Leu	9	NOTMP	1
Specimen_003_Tube_012	CGG	-Arg	9	NOTMP	1
Specimen_004_Tube_001	WT	Rich	18	TMP	1
Specimen_004_Tube_002	WT	-Leu	18	TMP	1
Specimen_004_Tube_003	WT	-Arg	18	TMP	1
Specimen_004_Tube_004	CGG	Rich	18	TMP	1
Specimen_004_Tube_005	CGG	-Leu	18	TMP	1
Specimen_004_Tube_006	CGG	-Arg	18	TMP	1
Specimen_004_Tube_007	WT	Rich	18	NOTMP	1
Specimen_004_Tube_008	WT	-Leu	18	NOTMP	1
Specimen_004_Tube_009	WT	-Arg	18	NOTMP	1
Specimen_004_Tube_010	CGG	Rich	18	NOTMP	1
Specimen_004_Tube_011	CGG	-Leu	18	NOTMP	1
Specimen_004_Tube_012	CGG	-Arg	18	NOTMP	1
Specimen_005_Tube_001	WT	Rich	25	TMP	1
Specimen_005_Tube_002	WT	-Leu	25	TMP	1
Specimen_005_Tube_003	WT	-Arg	25	TMP	1
Specimen_005_Tube_004	CGG	Rich	25	TMP	1
Specimen_005_Tube_005	CGG	-Leu	25	TMP	1
Specimen_005_Tube_006	CGG	-Arg	25	TMP	1
Specimen_005_Tube_007	WT	Rich	25	NOTMP	1
Specimen_005_Tube_008	WT	-Leu	25	NOTMP	1
Specimen_005_Tube_009	WT	-Arg	25	NOTMP	1
Specimen_005_Tube_010	CGG	Rich	25	NOTMP	1
Specimen_005_Tube_011	CGG	-Leu	25	NOTMP	1
Specimen_005_Tube_012	CGG	-Arg	25	NOTMP	1
Specimen_006_Tube_001	WT	Rich	36	TMP	1
Specimen_006_Tube_002	WT	-Leu	36	TMP	1
Specimen_006_Tube_003	WT	-Arg	36	TMP	1
Specimen_006_Tube_004	CGG	Rich	36	TMP	1
Specimen_006_Tube_005	CGG	-Leu	36	TMP	1
Specimen_006_Tube_006	CGG	-Arg	36	TMP	1
Specimen_006_Tube_007	WT	Rich	36	NOTMP	1
Specimen_006_Tube_008	WT	-Leu	36	NOTMP	1
Specimen_006_Tube_009	WT	-Arg	36	NOTMP	1
Specimen_006_Tube_010	CGG	Rich	36	NOTMP	1
Specimen_006_Tube_011	CGG	-Leu	36	NOTMP	1
Specimen_006_Tube_012	CGG	-Arg	36	NOTMP	1
