file	codonmutation	samplelabel	time	tmp	replicate
Specimen_001_Tube_001	WT	Rich	3	TMP	1
Specimen_001_Tube_002	WT	-Serum	3	TMP	1
Specimen_001_Tube_003	WT	-Leu	3	TMP	1
Specimen_001_Tube_004	WT	-Arg	3	TMP	1
Specimen_001_Tube_005	CGG	Rich	3	TMP	1
Specimen_001_Tube_006	CGG	-Serum	3	TMP	1
Specimen_001_Tube_007	CGG	-Leu	3	TMP	1
Specimen_001_Tube_008	CGG	-Arg	3	TMP	1
Specimen_001_Tube_009	WT	Rich	3	NOTMP	1
Specimen_001_Tube_010	WT	-Serum	3	NOTMP	1
Specimen_001_Tube_011	WT	-Leu	3	NOTMP	1
Specimen_001_Tube_012	WT	-Arg	3	NOTMP	1
Specimen_001_Tube_013	CGG	Rich	3	NOTMP	1
Specimen_001_Tube_014	CGG	-Serum	3	NOTMP	1
Specimen_001_Tube_015	CGG	-Leu	3	NOTMP	1
Specimen_001_Tube_016	CGG	-Arg	3	NOTMP	1
Specimen_002_Tube_001	WT	Rich	6	TMP	1
Specimen_002_Tube_002	WT	-Serum	6	TMP	1
Specimen_002_Tube_003	WT	-Leu	6	TMP	1
Specimen_002_Tube_004	WT	-Arg	6	TMP	1
Specimen_002_Tube_005	CGG	Rich	6	TMP	1
Specimen_002_Tube_006	CGG	-Serum	6	TMP	1
Specimen_002_Tube_007	CGG	-Leu	6	TMP	1
Specimen_002_Tube_008	CGG	-Arg	6	TMP	1
Specimen_002_Tube_009	WT	Rich	6	NOTMP	1
Specimen_002_Tube_010	WT	-Serum	6	NOTMP	1
Specimen_002_Tube_011	WT	-Leu	6	NOTMP	1
Specimen_002_Tube_012	WT	-Arg	6	NOTMP	1
Specimen_002_Tube_013	CGG	Rich	6	NOTMP	1
Specimen_002_Tube_014	CGG	-Serum	6	NOTMP	1
Specimen_002_Tube_015	CGG	-Leu	6	NOTMP	1
Specimen_002_Tube_016	CGG	-Arg	6	NOTMP	1
Specimen_003_Tube_001	WT	Rich	25	TMP	1
Specimen_003_Tube_002	WT	-Serum	25	TMP	1
Specimen_003_Tube_003	WT	-Leu	25	TMP	1
Specimen_003_Tube_004	WT	-Arg	25	TMP	1
Specimen_003_Tube_005	CGG	Rich	25	TMP	1
Specimen_003_Tube_006	CGG	-Serum	25	TMP	1
Specimen_003_Tube_007	CGG	-Leu	25	TMP	1
Specimen_003_Tube_008	CGG	-Arg	25	TMP	1
Specimen_003_Tube_009	WT	Rich	25	NOTMP	1
Specimen_003_Tube_010	WT	-Serum	25	NOTMP	1
Specimen_003_Tube_011	WT	-Leu	25	NOTMP	1
Specimen_003_Tube_012	WT	-Arg	25	NOTMP	1
Specimen_003_Tube_013	CGG	Rich	25	NOTMP	1
Specimen_003_Tube_014	CGG	-Serum	25	NOTMP	1
Specimen_003_Tube_015	CGG	-Leu	25	NOTMP	1
Specimen_003_Tube_016	CGG	-Arg	25	NOTMP	1
Specimen_004_Tube_001	WT	Rich	30	TMP	1
Specimen_004_Tube_002	WT	-Serum	30	TMP	1
Specimen_004_Tube_003	WT	-Leu	30	TMP	1
Specimen_004_Tube_004	WT	-Arg	30	TMP	1
Specimen_004_Tube_005	CGG	Rich	30	TMP	1
Specimen_004_Tube_006	CGG	-Serum	30	TMP	1
Specimen_004_Tube_007	CGG	-Leu	30	TMP	1
Specimen_004_Tube_008	CGG	-Arg	30	TMP	1
Specimen_004_Tube_009	WT	Rich	30	NOTMP	1
Specimen_004_Tube_010	WT	-Serum	30	NOTMP	1
Specimen_004_Tube_011	WT	-Leu	30	NOTMP	1
Specimen_004_Tube_012	WT	-Arg	30	NOTMP	1
Specimen_004_Tube_013	CGG	Rich	30	NOTMP	1
Specimen_004_Tube_014	CGG	-Serum	30	NOTMP	1
Specimen_004_Tube_015	CGG	-Leu	30	NOTMP	1
Specimen_004_Tube_016	CGG	-Arg	30	NOTMP	1
Specimen_005_Tube_001	WT	Rich	48	TMP	1
Specimen_005_Tube_002	WT	-Serum	48	TMP	1
Specimen_005_Tube_003	WT	-Leu	48	TMP	1
Specimen_005_Tube_004	WT	-Arg	48	TMP	1
Specimen_005_Tube_005	CGG	Rich	48	TMP	1
Specimen_005_Tube_006	CGG	-Serum	48	TMP	1
Specimen_005_Tube_007	CGG	-Leu	48	TMP	1
Specimen_005_Tube_008	CGG	-Arg	48	TMP	1
Specimen_005_Tube_009	WT	Rich	48	NOTMP	1
Specimen_005_Tube_010	WT	-Serum	48	NOTMP	1
Specimen_005_Tube_011	WT	-Leu	48	NOTMP	1
Specimen_005_Tube_012	WT	-Arg	48	NOTMP	1
Specimen_005_Tube_013	CGG	Rich	48	NOTMP	1
Specimen_005_Tube_014	CGG	-Serum	48	NOTMP	1
Specimen_005_Tube_015	CGG	-Leu	48	NOTMP	1
Specimen_005_Tube_016	CGG	-Arg	48	NOTMP	1
Specimen_006_Tube_001	WT	Rich	72	TMP	1
Specimen_006_Tube_002	WT	-Serum	72	TMP	1
Specimen_006_Tube_003	WT	-Leu	72	TMP	1
Specimen_006_Tube_004	WT	-Arg	72	TMP	1
Specimen_006_Tube_005	CGG	Rich	72	TMP	1
Specimen_006_Tube_006	CGG	-Serum	72	TMP	1
Specimen_006_Tube_007	CGG	-Leu	72	TMP	1
Specimen_006_Tube_008	CGG	-Arg	72	TMP	1
Specimen_006_Tube_009	WT	Rich	72	NOTMP	1
Specimen_006_Tube_010	WT	-Serum	72	NOTMP	1
Specimen_006_Tube_011	WT	-Leu	72	NOTMP	1
Specimen_006_Tube_012	WT	-Arg	72	NOTMP	1
Specimen_006_Tube_013	CGG	Rich	72	NOTMP	1
Specimen_006_Tube_014	CGG	-Serum	72	NOTMP	1
Specimen_006_Tube_015	CGG	-Leu	72	NOTMP	1
Specimen_006_Tube_016	CGG	-Arg	72	NOTMP	1
