file	codonmutation	samplelabel	time	tmp	replicate
Specimen_001_Tube_001_001	WT	Rich	24	TMP	1
Specimen_001_Tube_002_002	WT	-Leu	24	TMP	1
Specimen_001_Tube_003_003	WT	-Arg	24	TMP	1
Specimen_001_Tube_004_004	CGG	Rich	24	TMP	1
Specimen_001_Tube_005_005	CGG	-Leu	24	TMP	1
Specimen_001_Tube_006_006	CGG	-Arg	24	TMP	1
Specimen_001_Tube_007_007	WT	Rich	24	TMP	2
Specimen_001_Tube_008_008	WT	-Leu	24	TMP	2
Specimen_001_Tube_009_009	WT	-Arg	24	TMP	2
Specimen_001_Tube_010_010	CGG	Rich	24	TMP	2
Specimen_001_Tube_011_011	CGG	-Leu	24	TMP	2
Specimen_001_Tube_012_012	CGG	-Arg	24	TMP	2
Specimen_001_Tube_013_013	WT	Rich	24	TMP	3
Specimen_001_Tube_014_014	WT	-Leu	24	TMP	3
Specimen_001_Tube_015_015	WT	-Arg	24	TMP	3
Specimen_001_Tube_016_016	CGG	Rich	24	TMP	3
Specimen_001_Tube_017_017	CGG	-Leu	24	TMP	3
Specimen_001_Tube_018_018	CGG	-Arg	24	TMP	3
Specimen_001_Tube_019_019	WT	Rich	24	NOTMP	1
Specimen_001_Tube_020_020	WT	-Leu	24	NOTMP	1
Specimen_001_Tube_021_021	WT	-Arg	24	NOTMP	1
Specimen_001_Tube_022_022	CGG	Rich	24	NOTMP	1
Specimen_001_Tube_023_023	CGG	-Leu	24	NOTMP	1
Specimen_001_Tube_024_024	CGG	-Arg	24	NOTMP	1
Specimen_001_Tube_025_025	WT	Rich	24	NOTMP	2
Specimen_001_Tube_026_026	WT	-Leu	24	NOTMP	2
Specimen_001_Tube_027_027	WT	-Arg	24	NOTMP	2
Specimen_001_Tube_028_028	CGG	Rich	24	NOTMP	2
Specimen_001_Tube_029_029	CGG	-Leu	24	NOTMP	2
Specimen_001_Tube_030_030	CGG	-Arg	24	NOTMP	2
Specimen_001_Tube_031_031	WT	Rich	24	NOTMP	3
Specimen_001_Tube_032_032	WT	-Leu	24	NOTMP	3
Specimen_001_Tube_033_033	WT	-Arg	24	NOTMP	3
Specimen_001_Tube_034_034	CGG	Rich	24	NOTMP	3
Specimen_001_Tube_035_035	CGG	-Leu	24	NOTMP	3
Specimen_001_Tube_036_036	CGG	-Arg	24	NOTMP	3
