,mean,std,normalizedMean,normalizedStd,normalizedStdErr,sterr
YFP-AGA -Arg,2722.47338867,596.385338036,4.66453826539,1.64148571434,0.947712219043,344.323235456
YFP-AGA -Leu,1633.85668945,212.1540862,2.79936144825,0.85236847827,0.492115170378,122.487218777
YFP-AGA Rich,583.65335083,160.744862295,1.0,0.389490720847,0.224872572528,92.8060895169
YFP-CGA -Arg,5773.46663411,1126.40716325,7.53178739375,3.65277075141,2.10892817661,650.33147892
YFP-CGA -Leu,1989.75333659,346.113756461,2.59573667727,1.23781492329,0.714652779169,199.828870463
YFP-CGA Rich,766.546681722,340.351829792,1.0,0.627920236495,0.36252991757,196.50222055
YFP-CGG -Arg,4914.18343099,406.580879347,5.12634563898,1.25685109035,0.725643315342,234.739580138
YFP-CGG -Leu,1997.20670573,249.741264676,2.08343299143,0.546883323144,0.315743233833,144.188186388
YFP-CGG Rich,958.61336263,221.241306391,1.0,0.326390668284,0.188441740195,127.733727801
YFP-CGT -Arg,4524.60351562,617.270340922,6.04153134389,2.70989679189,1.56455964227,356.381197494
YFP-CGT -Leu,2336.9066569,568.195308692,3.12038276208,1.53406566539,0.88569322487,328.047714425
YFP-CGT Rich,748.916666667,320.007874503,1.0,0.604285491739,0.348884391323,184.756632487
YFP-CTA -Arg,3153.90673828,548.138112705,3.96897548593,2.15317313029,1.24313508638,316.467686923
YFP-CTA -Leu,1848.85668945,290.126116833,2.32665943744,1.25019049485,0.721797818738,167.504391652
YFP-CTA Rich,794.640014648,408.372363633,1.0,0.72677655857,0.419604641731,235.773894073
YFP-CTC -Arg,3220.98673503,326.104778723,3.72917358299,0.589195819262,0.340172364856,188.27668178
YFP-CTC -Leu,2074.17667643,222.502653055,2.40142711055,0.388853227356,0.224504515489,128.461966637
YFP-CTC Rich,863.72668457,104.76598769,1.0,0.171537458913,0.0990371980794,60.4866711946
YFP-CTT -Arg,3069.19669596,384.829581852,3.6429058167,1.15773556563,0.668418940468,222.181462674
YFP-CTT -Leu,2245.74678548,467.748601162,2.66553265824,0.956107163784,0.552008728385,270.054780794
YFP-CTT Rich,842.513326009,246.035649499,1.0,0.412986882946,0.238438088041,142.048748469
YFP-TTA -Arg,2052.9634196,127.08252466,3.21648344177,0.949593350667,0.548247976628,73.3711298216
YFP-TTA -Leu,1449.52998861,360.3468751,2.27105323076,0.8651700606,0.499506167382,208.046365341
YFP-TTA Rich,638.263326009,184.244008485,1.0,0.408233349728,0.235693634358,106.373327895
YFP-TTG -Arg,2317.70011393,200.400306735,4.01938867958,1.97849359113,1.14228380743,115.701171039
YFP-TTG -Leu,1282.83337402,220.687344303,2.22470798113,1.14397634365,0.66047504995,127.41389764
YFP-TTG Rich,576.630004883,279.4255672,1.0,0.685305002275,0.39566102754,161.326426441
YFP-WT -Arg,4168.85001628,1432.65608156,3.46910778394,2.17917031176,1.2581445661,827.144374343
YFP-WT -Leu,3206.36669922,517.114829201,2.66817746645,1.46749921038,0.847261064149,298.556385841
YFP-WT Rich,1201.70668538,631.885470901,1.0,0.743626555202,0.429332991822,364.819246722
