file	codonmutation	samplelabel	time	tmp	replicate
hek293t_1_Tube_001	WT	Rich	24	TMP	1
hek293t_1_Tube_002	WT	-Leu	24	TMP	1
hek293t_1_Tube_003	WT	-Arg	24	TMP	1
hek293t_1_Tube_022	CTA	Rich	24	TMP	1
hek293t_1_Tube_023	CTA	-Leu	24	TMP	1
hek293t_1_Tube_024	CTA	-Arg	24	TMP	1
hek293t_1_Tube_025	CTC	Rich	24	TMP	1
hek293t_1_Tube_026	CTC	-Leu	24	TMP	1
hek293t_1_Tube_027	CTC	-Arg	24	TMP	1
hek293t_1_Tube_028	CTT	Rich	24	TMP	1
hek293t_1_Tube_029	CTT	-Leu	24	TMP	1
hek293t_1_Tube_030	CTT	-Arg	24	TMP	1
hek293t_1_Tube_031	TTA	Rich	24	TMP	1
hek293t_1_Tube_032	TTA	-Leu	24	TMP	1
hek293t_1_Tube_033	TTA	-Arg	24	TMP	1
hek293t_1_Tube_034	TTG	Rich	24	TMP	1
hek293t_1_Tube_035	TTG	-Leu	24	TMP	1
hek293t_1_Tube_036	TTG	-Arg	24	TMP	1
hek293t_2_Tube_001	WT	Rich	24	TMP	2
hek293t_2_Tube_002	WT	-Leu	24	TMP	2
hek293t_2_Tube_003	WT	-Arg	24	TMP	2
hek293t_2_Tube_019	CTA	Rich	24	TMP	2
hek293t_2_Tube_020	CTA	-Leu	24	TMP	2
hhek293t_2_Tube_021	CTA	-Arg	24	TMP	2
hek293t_2_Tube_022	CTC	Rich	24	TMP	2
hek293t_2_Tube_023	CTC	-Leu	24	TMP	2
hek293t_2_Tube_024	CTC	-Arg	24	TMP	2
hek293t_2_Tube_025	CTT	Rich	24	TMP	2
hek293t_2_Tube_026	CTT	-Leu	24	TMP	2
hek293t_2_Tube_027	CTT	-Arg	24	TMP	2
hek293t_2_Tube_028	TTA	Rich	24	TMP	2
hek293t_2_Tube_029	TTA	-Leu	24	TMP	2
hek293t_2_Tube_030	TTA	-Arg	24	TMP	2
hek293t_2_Tube_031	TTG	Rich	24	TMP	2
hek293t_2_Tube_032	TTG	-Leu	24	TMP	2
hek293t_2_Tube_033	TTG	-Arg	24	TMP	2
hek293t_3_Tube_001	WT	Rich	24	TMP	3
hek293t_3_Tube_002	WT	-Leu	24	TMP	3
hek293t_3_Tube_003	WT	-Arg	24	TMP	3
hek293t_3_Tube_019	CTA	Rich	24	TMP	3
hek293t_3_Tube_020	CTA	-Leu	24	TMP	3
hek293t_3_Tube_021	CTA	-Arg	24	TMP	3
hek293t_3_Tube_022	CTC	Rich	24	TMP	3
hek293t_3_Tube_023	CTC	-Leu	24	TMP	3
hek293t_3_Tube_024	CTC	-Arg	24	TMP	3
hek293t_3_Tube_025	CTT	Rich	24	TMP	3
hek293t_3_Tube_026	CTT	-Leu	24	TMP	3
hek293t_3_Tube_027	CTT	-Arg	24	TMP	3
hek293t_3_Tube_028	TTA	Rich	24	TMP	3
hek293t_3_Tube_029	TTA	-Leu	24	TMP	3
hek293t_3_Tube_030	TTA	-Arg	24	TMP	3
hek293t_3_Tube_031	TTG	Rich	24	TMP	3
hek293t_3_Tube_032	TTG	-Leu	24	TMP	3
hek293t_3_Tube_033	TTG	-Arg	24	TMP	3
