file	codonmutation	samplelabel	time	replicate
Specimen_001_Tube_001	WT	Rich	12	1
Specimen_001_Tube_002	WT	-Leu	12	1
Specimen_001_Tube_003	WT	-Arg	12	1
Specimen_001_Tube_004	CGG	Rich	12	1
Specimen_001_Tube_005	CGG	-Leu	12	1
Specimen_001_Tube_006	CGG	-Arg	12	1
Specimen_002_Tube_001	WT	Rich	24	1
Specimen_002_Tube_002	WT	-Leu	24	1
Specimen_002_Tube_003	WT	-Arg	24	1
Specimen_002_Tube_004	CGG	Rich	24	1
Specimen_002_Tube_005	CGG	-Leu	24	1
Specimen_002_Tube_006	CGG	-Arg	24	1
Specimen_003_Tube_001	WT	Rich	48	1
Specimen_003_Tube_002	WT	-Leu	48	1
Specimen_003_Tube_003	WT	-Arg	48	1
Specimen_003_Tube_004	CGG	Rich	48	1
Specimen_003_Tube_005	CGG	-Leu	48	1
Specimen_003_Tube_006	CGG	-Arg	48	1
