index,Ala,Arg,Asn,Asp,Cys,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Trp,Tyr,Val
50uM,1005392,3363411,1303695,1461173,935499,8875856,3009299,130591,2691595,7538627,7538627,4258173,1686712,6229002,7973423,1095432,1218636,5009608,1846896,4957881
AD1,658967,6743,242297,983535,312,27071099,8348444,298860,311359,3156560.701,3358043.299,2169202,249441,2110068,8523115,886133,1814602,120641,234139,1958395
AD2,594229,8150,226015,965976,347,26659954,8021928,284476,406643,3115798.619,3314679.381,2459958,229472,2106303,7876217,858120,1744681,118041,233597,1859084
AD3,600661,7457,285265,1020623,209,15360665,8319109,287768,361717,3013360.423,3205702.577,2429995,231791,2007344,7834397,907946,2086693,112909,279425,1587144
AD4,537715,1008871,198714,809948,350,25882787,7605641,287675,363839,2865980,0,2189393,225016,1994972,6821943,812050,1669372,120639,237391,1677839
AD5,507258,1045955,205257,821932,381,24365824,7732948,294762,389679,3093803,0,2311877,222462,2070746,6926386,807908,1726763,133052,252358,1662299
AD6,521802,1087000,263766,866910,233,15371751,8102519,294790,403531,3214711,0,2577294,215301,2188848,7320272,885329,2109432,129526,311222,1661108
AD7,349898,283109,94280,517350,191,9050313,7048096,223283,137666,1336342.763,1421641.237,727727,159146,925575,3645715,534172,1231053,103313,202891,1038826
AD8,416681,557224,117782,710393,347,18773814,8693894,269033,281551,2350145.845,2500155.155,1287794,201930,1638384,5256296,652622,1519750,96126,240812,1312828
AD9,414347,699965,124474,782349,333,21221024,9271991,267651,338206,2852949.907,3035053.093,1616614,200120,1690895,5470283,687692,1538711,98515,236651,1424503
