Gradient Profiler Text Data File: hct116_polysome_arg.csv
Version: 1.88
Date: 2017-02-13
Time: 17:08:30

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.04, 0.045985, , 
0.08, 0.045936, , 
0.11, 0.046055, , 
0.15, 0.046003, , 
0.19, 0.045989, , 
0.22, 0.045854, , 
0.26, 0.045610, , 
0.30, 0.045521, , 
0.33, 0.045446, , 
0.37, 0.045474, , 
0.41, 0.045472, , 
0.44, 0.045503, , 
0.48, 0.045503, , 
0.52, 0.045454, , 
0.55, 0.045497, , 
0.59, 0.045434, , 
0.63, 0.045491, , 
0.66, 0.045501, , 
0.70, 0.045464, , 
0.74, 0.045476, , 
0.77, 0.046548, , 
0.81, 0.055422, , 
0.85, 0.073894, , 
0.88, 0.088299, , 
0.92, 0.095150, , 
0.96, 0.097424, , 
0.99, 0.098895, , 
1.03, 0.100108, , 
1.07, 0.101653, , 
1.10, 0.103147, , 
1.14, 0.104805, , 
1.18, 0.102247, , 
1.21, 0.089159, , 
1.25, 0.073749, , 
1.29, 0.064870, , 
1.32, 0.062610, , 
1.36, 0.062568, , 
1.40, 0.062961, , 
1.43, 0.063292, , 
1.47, 0.063078, , 
1.51, 0.062679, , 
1.54, 0.062295, , 
1.58, 0.061754, , 
1.62, 0.061268, , 
1.65, 0.060705, , 
1.69, 0.060104, , 
1.73, 0.059357, , 
1.76, 0.058774, , 
1.80, 0.058219, , 
1.84, 0.057493, , 
1.87, 0.056871, , 
1.91, 0.056102, , 
1.95, 0.055523, , 
1.98, 0.054956, , 
2.02, 0.054367, , 
2.06, 0.053883, , 
2.09, 0.053342, , 
2.13, 0.052948, , 
2.17, 0.052517, , 
2.20, 0.052178, , 
2.24, 0.051944, , 
2.28, 0.051566, , 
2.31, 0.051314, , 
2.35, 0.050997, , 
2.39, 0.050713, , 
2.42, 0.050578, , 
2.46, 0.050337, , 
2.50, 0.050164, , 
2.53, 0.049902, , 
2.57, 0.049698, , 
2.61, 0.049502, , 
2.64, 0.049260, , 
2.68, 0.049127, , 
2.72, 0.048899, , 
2.75, 0.048725, , 
2.79, 0.048525, , 
2.83, 0.048320, , 
2.86, 0.048156, , 
2.90, 0.047964, , 
2.94, 0.047849, , 
2.97, 0.047603, , 
3.01, 0.047520, , 
3.05, 0.047361, , 
3.08, 0.047121, , 
3.12, 0.047050, , 
3.16, 0.046911, , 
3.19, 0.046814, , 
3.23, 0.046614, , 
3.27, 0.046481, , 
3.30, 0.046514, , 
3.34, 0.046455, , 
3.38, 0.046447, , 
3.41, 0.046217, , 
3.45, 0.046100, , 
3.49, 0.046031, , 
3.52, 0.045955, , 
3.56, 0.045983, , 
3.60, 0.045700, , 
3.63, 0.045638, , 
3.67, 0.045539, , 
3.71, 0.045482, , 
3.74, 0.045499, , 
3.78, 0.045446, , 
3.82, 0.045537, , 
3.85, 0.045454, , 
3.89, 0.045505, , 
3.93, 0.045490, , 
3.96, 0.045355, , 
4.00, 0.045176, , 
4.04, 0.045018, , 
4.07, 0.045057, , 
4.11, 0.045051, , 
4.15, 0.044950, , 
4.18, 0.045020, , 
4.22, 0.044956, , 
4.26, 0.045026, , 
4.29, 0.044956, , 
4.33, 0.044968, , 
4.37, 0.044919, , 
4.40, 0.044679, , 
4.44, 0.044582, , 
4.48, 0.044494, , 
4.51, 0.044496, , 
4.55, 0.044508, , 
4.59, 0.044471, , 
4.62, 0.044506, , 
4.66, 0.044431, , 
4.70, 0.044480, , 
4.73, 0.044459, , 
4.77, 0.044417, , 
4.81, 0.044439, , 
4.84, 0.044401, , 
4.88, 0.044411, , 
4.92, 0.044375, , 
4.95, 0.044383, , 
4.99, 0.044417, , 
5.03, 0.044399, , 
5.06, 0.044478, , 
5.10, 0.044439, , 
5.14, 0.044431, , 
5.17, 0.044457, , 
5.21, 0.044488, , 
5.25, 0.044506, , 
5.28, 0.044431, , 
5.32, 0.044465, , 
5.36, 0.044437, , 
5.39, 0.044459, , 
5.43, 0.044476, , 
5.47, 0.044423, , 
5.50, 0.044474, , 
5.54, 0.044457, , 
5.58, 0.044524, , 
5.61, 0.044574, , 
5.65, 0.044764, , 
5.69, 0.045026, , 
5.72, 0.046336, , 
5.76, 0.050422, , 
5.80, 0.055372, , 
5.83, 0.058929, , 
5.87, 0.062547, , 
5.91, 0.065217, , 
5.94, 0.067352, , 
5.98, 0.069069, , 
6.02, 0.070641, , 
6.05, 0.071854, , 
6.09, 0.072338, , 
6.13, 0.070693, , 
6.16, 0.066973, , 
6.20, 0.063010, , 
6.24, 0.059837, , 
6.27, 0.057598, , 
6.31, 0.055798, , 
6.35, 0.054101, , 
6.38, 0.052833, , 
6.42, 0.051498, , 
6.46, 0.050505, , 
6.49, 0.049347, , 
6.53, 0.047781, , 
6.57, 0.049629, , 
6.60, 0.061617, , 
6.64, 0.098294, , 
6.68, 0.150185, , 
6.71, 0.199612, , 
6.75, 0.246390, , 
6.79, 0.302004, , 
6.82, 0.350630, , 
6.86, 0.404245, , 
6.90, 0.451452, , 
6.93, 0.502738, , 
6.97, 0.550245, , 
7.01, 0.578422, , 
7.04, 0.584998, , 
7.08, 0.585886, , 
7.12, 0.585609, , 
7.15, 0.585928, , 
7.19, 0.586451, , 
7.23, 0.586899, , 
7.26, 0.587306, , 
7.30, 0.587587, , 
7.34, 0.587803, , 
7.37, 0.587956, , 
