Gradient Profiler Text Data File: hct116_polysome_rich.csv
Version: 1.88
Date: 2017-02-13
Time: 16:51:40

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.04, 0.213453, , 
0.12, 0.212230, , 
0.13, 0.211043, , 
0.15, 0.204574, , 
0.19, 0.196515, , 
0.22, 0.194802, , 
0.26, 0.193278, , 
0.30, 0.191720, , 
0.33, 0.190181, , 
0.37, 0.188371, , 
0.41, 0.186313, , 
0.44, 0.184270, , 
0.48, 0.181962, , 
0.52, 0.180003, , 
0.55, 0.177680, , 
0.59, 0.174278, , 
0.63, 0.169484, , 
0.66, 0.165018, , 
0.70, 0.159552, , 
0.74, 0.154323, , 
0.77, 0.149878, , 
0.81, 0.145600, , 
0.85, 0.141347, , 
0.88, 0.137618, , 
0.92, 0.133798, , 
0.96, 0.130943, , 
0.99, 0.129026, , 
1.03, 0.128225, , 
1.07, 0.128208, , 
1.10, 0.128525, , 
1.14, 0.128899, , 
1.18, 0.129441, , 
1.21, 0.131401, , 
1.25, 0.136383, , 
1.29, 0.141080, , 
1.32, 0.143122, , 
1.36, 0.147681, , 
1.40, 0.158079, , 
1.43, 0.168354, , 
1.47, 0.171447, , 
1.51, 0.169488, , 
1.54, 0.172018, , 
1.58, 0.179379, , 
1.62, 0.177910, , 
1.65, 0.169847, , 
1.69, 0.162009, , 
1.73, 0.153143, , 
1.76, 0.140156, , 
1.80, 0.126780, , 
1.84, 0.132825, , 
1.87, 0.148290, , 
1.91, 0.155334, , 
1.95, 0.151573, , 
1.98, 0.159602, , 
2.02, 0.185411, , 
2.06, 0.214712, , 
2.09, 0.242508, , 
2.13, 0.265953, , 
2.17, 0.278208, , 
2.20, 0.273151, , 
2.24, 0.249695, , 
2.28, 0.233387, , 
2.31, 0.225009, , 
2.35, 0.210743, , 
2.39, 0.181532, , 
2.42, 0.155300, , 
2.46, 0.135796, , 
2.50, 0.095408, , 
2.53, 0.083194, , 
2.57, 0.092329, , 
2.61, 0.118238, , 
2.64, 0.148597, , 
2.68, 0.167936, , 
2.72, 0.172407, , 
2.75, 0.176564, , 
2.79, 0.177277, , 
2.83, 0.177452, , 
2.86, 0.177555, , 
2.90, 0.176165, , 
2.94, 0.165109, , 
2.97, 0.152659, , 
3.01, 0.111293, , 
3.05, 0.088525, , 
3.08, 0.079528, , 
3.12, 0.078204, , 
3.16, 0.079883, , 
3.19, 0.082776, , 
3.23, 0.083945, , 
3.27, 0.090771, , 
3.30, 0.095640, , 
3.34, 0.099849, , 
3.38, 0.104493, , 
3.41, 0.108308, , 
3.45, 0.112047, , 
3.49, 0.115883, , 
3.52, 0.119057, , 
3.56, 0.122183, , 
3.60, 0.124477, , 
3.63, 0.126487, , 
3.67, 0.128178, , 
3.71, 0.129677, , 
3.74, 0.131021, , 
3.78, 0.132864, , 
3.82, 0.143486, , 
3.85, 0.176839, , 
3.89, 0.241121, , 
3.93, 0.312023, , 
3.96, 0.386936, , 
4.00, 0.470961, , 
4.04, 0.555733, , 
4.07, 0.625841, , 
4.11, 0.711580, , 
4.15, 0.797337, , 
4.18, 0.873041, , 
4.22, 0.934831, , 
4.26, 0.973925, , 
4.29, 0.989796, , 
4.33, 0.998152, , 
4.37, 1.002988, , 
4.40, 1.007139, , 
4.44, 1.011326, , 
4.48, 1.015287, , 
4.51, 1.018552, , 
4.55, 1.022527, , 
4.59, 1.026785, , 
4.62, 1.030756, , 
4.66, 1.034988, , 
4.70, 1.039669, , 
4.73, 1.043925, , 
4.77, 1.048661, , 
4.81, 1.052817, , 
4.84, 1.057061, , 
4.88, 1.061627, , 
4.92, 1.066212, , 
4.95, 1.069953, , 
4.99, 1.074299, , 
5.03, 1.078688, , 
5.06, 1.082579, , 
5.10, 1.086394, , 
5.14, 1.090355, , 
5.17, 1.093818, , 
5.21, 1.097733, , 
5.25, 1.101086, , 
5.28, 1.104505, , 
5.32, 1.108072, , 
5.36, 1.111559, , 
5.39, 1.114261, , 
5.43, 1.117481, , 
5.47, 1.120549, , 
5.50, 1.123117, , 
5.54, 1.125668, , 
5.58, 1.128210, , 
5.61, 1.130499, , 
5.65, 1.132849, , 
5.69, 1.134696, , 
5.72, 1.136548, , 
5.76, 1.138265, , 
5.80, 1.139827, , 
5.83, 1.140971, , 
5.87, 1.142200, , 
5.91, 1.143217, , 
5.94, 1.143808, , 
5.98, 1.144339, , 
6.02, 1.144650, , 
6.05, 1.144761, , 
6.09, 1.144668, , 
6.13, 1.144202, , 
6.16, 1.143603, , 
6.20, 1.142594, , 
6.24, 1.141540, , 
6.27, 1.140346, , 
6.31, 1.138606, , 
6.35, 1.136516, , 
6.38, 1.134254, , 
6.42, 1.131794, , 
6.46, 1.128652, , 
6.49, 1.125579, , 
6.53, 1.121848, , 
6.57, 1.118260, , 
6.60, 1.114356, , 
6.64, 1.109479, , 
6.68, 1.104394, , 
6.71, 1.099902, , 
6.75, 1.094097, , 
6.79, 1.087894, , 
6.82, 1.082010, , 
6.86, 1.075894, , 
6.90, 1.068738, , 
6.93, 1.062089, , 
6.97, 1.054230, , 
7.01, 1.045945, , 
7.04, 1.038892, , 
7.08, 1.029953, , 
7.12, 1.020796, , 
7.15, 1.011974, , 
7.19, 1.002984, , 
7.23, 0.992697, , 
7.26, 0.983046, , 
7.30, 0.972152, , 
7.34, 0.961969, , 
7.37, 0.951672, , 
7.41, 0.939910, , 
7.45, 0.927955, , 
7.48, 0.917873, , 
7.52, 0.905409, , 
7.56, 0.892674, , 
