Gradient Profiler Text Data File: hct116_polysome_leu.csv
Version: 1.88
Date: 2017-02-13
Time: 17:00:15

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.04, 0.043991, , 
0.08, 0.043949, , 
0.11, 0.044024, , 
0.15, 0.044116, , 
0.19, 0.044340, , 
0.22, 0.044401, , 
0.26, 0.044411, , 
0.30, 0.044482, , 
0.33, 0.044433, , 
0.37, 0.044500, , 
0.41, 0.044457, , 
0.44, 0.044338, , 
0.48, 0.044203, , 
0.52, 0.044022, , 
0.55, 0.044021, , 
0.59, 0.043977, , 
0.63, 0.043975, , 
0.66, 0.044017, , 
0.70, 0.043953, , 
0.74, 0.043977, , 
0.77, 0.044005, , 
0.81, 0.044250, , 
0.85, 0.044358, , 
0.88, 0.044401, , 
0.92, 0.044496, , 
0.96, 0.044605, , 
0.99, 0.044889, , 
1.03, 0.044936, , 
1.07, 0.044950, , 
1.10, 0.044946, , 
1.14, 0.044948, , 
1.18, 0.044974, , 
1.21, 0.044714, , 
1.25, 0.044544, , 
1.29, 0.044435, , 
1.32, 0.044377, , 
1.36, 0.044443, , 
1.40, 0.044389, , 
1.43, 0.044471, , 
1.47, 0.044467, , 
1.51, 0.044469, , 
1.54, 0.044482, , 
1.58, 0.044431, , 
1.62, 0.044435, , 
1.65, 0.044171, , 
1.69, 0.044054, , 
1.73, 0.044001, , 
1.76, 0.043965, , 
1.80, 0.043989, , 
1.84, 0.043947, , 
1.87, 0.043975, , 
1.91, 0.043943, , 
1.95, 0.043979, , 
1.98, 0.044003, , 
2.02, 0.043953, , 
2.06, 0.043981, , 
2.09, 0.043939, , 
2.13, 0.043981, , 
2.17, 0.043963, , 
2.20, 0.043929, , 
2.24, 0.043995, , 
2.28, 0.043981, , 
2.31, 0.044005, , 
2.35, 0.043985, , 
2.39, 0.043957, , 
2.42, 0.043993, , 
2.46, 0.043961, , 
2.50, 0.044017, , 
2.53, 0.043943, , 
2.57, 0.043951, , 
2.61, 0.043959, , 
2.64, 0.043892, , 
2.68, 0.043957, , 
2.72, 0.043943, , 
2.75, 0.043985, , 
2.79, 0.043929, , 
2.83, 0.043931, , 
2.86, 0.044005, , 
2.90, 0.043927, , 
2.94, 0.043979, , 
2.97, 0.043909, , 
3.01, 0.043721, , 
3.05, 0.043493, , 
3.08, 0.043384, , 
3.12, 0.043424, , 
3.16, 0.043362, , 
3.19, 0.043372, , 
3.23, 0.043390, , 
3.27, 0.043364, , 
3.30, 0.043426, , 
3.34, 0.043402, , 
3.38, 0.043430, , 
3.41, 0.043380, , 
3.45, 0.043414, , 
3.49, 0.043459, , 
3.52, 0.043382, , 
3.56, 0.043446, , 
3.60, 0.043358, , 
3.63, 0.043390, , 
3.67, 0.043432, , 
3.71, 0.043426, , 
3.74, 0.043469, , 
3.78, 0.043432, , 
3.82, 0.043481, , 
3.85, 0.043454, , 
3.89, 0.043442, , 
3.93, 0.043450, , 
3.96, 0.043412, , 
4.00, 0.043452, , 
4.04, 0.043430, , 
4.07, 0.043452, , 
4.11, 0.043459, , 
4.15, 0.043469, , 
4.18, 0.043650, , 
4.22, 0.043834, , 
4.26, 0.043951, , 
4.29, 0.043959, , 
4.33, 0.043957, , 
4.37, 0.043987, , 
4.40, 0.043894, , 
4.44, 0.043971, , 
4.48, 0.043927, , 
4.51, 0.043961, , 
4.55, 0.043955, , 
4.59, 0.043933, , 
4.62, 0.043999, , 
4.66, 0.043911, , 
4.70, 0.043957, , 
4.73, 0.043965, , 
4.77, 0.043917, , 
4.81, 0.043983, , 
4.84, 0.043949, , 
4.88, 0.044019, , 
4.92, 0.043957, , 
4.95, 0.043945, , 
4.99, 0.043985, , 
5.03, 0.043911, , 
5.06, 0.043981, , 
5.10, 0.043927, , 
5.14, 0.043965, , 
5.17, 0.043929, , 
5.21, 0.043896, , 
5.25, 0.043961, , 
5.28, 0.043911, , 
5.32, 0.043949, , 
5.36, 0.043929, , 
5.39, 0.043963, , 
5.43, 0.043965, , 
5.47, 0.043935, , 
5.50, 0.043975, , 
5.54, 0.043915, , 
5.58, 0.043973, , 
5.61, 0.043949, , 
5.65, 0.043923, , 
5.69, 0.043955, , 
5.72, 0.043911, , 
5.76, 0.044005, , 
5.80, 0.043989, , 
5.83, 0.043947, , 
5.87, 0.043961, , 
5.91, 0.043902, , 
5.94, 0.044003, , 
5.98, 0.044167, , 
6.02, 0.044346, , 
6.05, 0.044457, , 
6.09, 0.044437, , 
6.13, 0.044461, , 
6.16, 0.044413, , 
6.20, 0.044488, , 
6.24, 0.044457, , 
6.27, 0.044518, , 
