"Black is 0, White is 65535"							
							
#	IDV	% *	Area	Average	Background		
							
1n	49104252	7.6	7506	6542	0		3137
2n	47460438	7.3	7506	6323	0		2918
3n	41635782	6.4	7506	5547	0		2142
4n	59852844	9.2	7506	7974	0		4569
5n	46372068	7.2	7506	6178	0		2773
6n	40675014	6.3	7506	5419	0		2014
7n	53930610	8.3	7506	7185	0		3780
8n	42108660	6.5	7506	5610	0		2205
9n	36997074	5.7	7506	4929	0		1524
10n	54456030	8.4	7506	7255	0		3850
11n	39706740	6.1	7506	5290	0		1885
12n	33296616	5.1	7506	4436	0		1031
13n	24552126	3.8	7506	3271	0		
14n	26443638	4.1	7506	3523	0		
15n	26225964	4	7506	3494	0		
16n	25009992	3.9	7506	3332	0	3405	
							
IDV = Integrated Density Value							
* Based on Integrated Density Value							
