"Black is 0, White is 65535"						
						
#	IDV	% *	Area	Average	Background	
						
1n	18132450	12.1	12335	1470	0	14181138.33
2n	17133315	11.5	12335	1389	0	13182003.33
3n	15307735	10.2	12335	1241	0	11356423.33
4n	19069910	12.7	12335	1546	0	15118598.33
5n	16467225	11	12335	1335	0	12515913.33
6n	14246925	9.5	12335	1155	0	10295613.33
7n	14481290	9.7	12335	1174	0	10529978.33
8n	12618705	8.4	12335	1023	0	8667393.333
9n	10324395	6.9	12335	837	0	6373083.333
10n	3786845	2.5	12335	307	0	
11n	4588620	3.1	12335	372	0	
12n	3478470	2.3	12335	282	0	3951311.667
						
IDV = Integrated Density Value						
* Based on Integrated Density Value						
