"Black is 0, White is 65535"						
						
#	IDV	% *	Area	Average	Background	
						
1n	100361072	12.2	12424	8078	0	77484346.67
2n	86881032	10.6	12424	6993	0	64004306.67
3n	74978840	9.1	12424	6035	0	52102114.67
4n	109418168	13.3	12424	8807	0	86541442.67
5n	94633608	11.5	12424	7617	0	71756882.67
6n	76097000	9.3	12424	6125	0	53220274.67
7n	86458616	10.5	12424	6959	0	63581890.67
8n	72046776	8.8	12424	5799	0	49170050.67
9n	51236576	6.2	12424	4124	0	28359850.67
10n	24810728	3	12424	1997	0	
11n	22959552	2.8	12424	1848	0	
12n	20859896	2.5	12424	1679	0	22876725.33
						
IDV = Integrated Density Value						
* Based on Integrated Density Value						
