"Black is 0, White is 65535"						
						
#	IDV	% *	Area	Average	Background	
						
1n	10258115	7.1	12743	805	0	5403032
2n	10793321	7.4	12743	847	0	5938238
3n	15138684	10.4	12743	1188	0	10283601
4n	14922053	10.3	12743	1171	0	10066970
5n	15610175	10.8	12743	1225	0	10755092
6n	16655101	11.5	12743	1307	0	11800018
7n	14577992	10.1	12743	1144	0	9722909
8n	15508231	10.7	12743	1217	0	10653148
9n	16960933	11.7	12743	1331	0	12105850
10n	6205841	4.3	12743	487	0	
11n	4625709	3.2	12743	363	0	
12n	3733699	2.6	12743	293	0	4855083
						
IDV = Integrated Density Value						
* Based on Integrated Density Value						
