"Black is 0, White is 65535"						
						
#	IDV	% *	Area	Average	Background	
						
1n	8173464	2.6	9384	871	0	6127752
2n	9111864	2.9	9384	971	0	6578184
3n	8867880	2.9	9384	945	0	5986992
4n	10106568	3.3	9384	1077	0	7056768
5n	9280776	3	9384	989	0	6165288
6n	10678992	3.4	9384	1138	0	7460280
7n	8633280	2.8	9384	920	0	5677320
8n	8905416	2.9	9384	949	0	6306048
9n	5705472	1.8	9384	608	0	3847440
10n	7957632	2.6	9384	848	0	5020440
11n	9102480	2.9	9384	970	0	5611632
12n	11805072	3.8	9384	1258	0	7826256
13n	9224472	3	9384	983	0	5001672
14n	9674904	3.1	9384	1031	0	5339496
15n	10463160	3.4	9384	1115	0	6062064
16n	8774040	2.8	9384	935	0	4757688
17n	7826256	2.5	9384	834	0	4232184
18n	6371736	2	9384	679	0	3434544
19n	6897240	2.2	9384	735	0	4410480
20n	7657344	2.5	9384	816	0	4588776
21n	8192232	2.6	9384	873	0	4823376
22n	7084920	2.3	9384	755	0	3603456
23n	6578184	2.1	9384	701	0	3012264
24n	7357056	2.4	9384	784	0	3781752
25n	6728328	2.2	9384	717	0	3265632
26n	6559416	2.1	9384	699	0	3218712
27n	5442720	1.8	9384	580	0	2270928
28n	2045712	0.7	9384	218	0	
29n	2533680	0.8	9384	270	0	
30n	2880888	0.9	9384	307	0	
31n	3049800	1	9384	325	0	
32n	3115488	1	9384	332	0	
33n	3218712	1	9384	343	0	
34n	2955960	1	9384	315	0	
35n	2599368	0.8	9384	277	0	
36n	1858032	0.6	9384	198	0	
37n	2937192	0.9	9384	313	0	
38n	3490848	1.1	9384	372	0	
39n	3978816	1.3	9384	424	0	
40n	4222800	1.4	9384	450	0	
41n	4335408	1.4	9384	462	0	
42n	4401096	1.4	9384	469	0	
43n	4016352	1.3	9384	428	0	
44n	3594072	1.2	9384	383	0	
45n	2937192	0.9	9384	313	0	
46n	2486760	0.8	9384	265	0	
47n	3068568	1	9384	327	0	
48n	3368856	1.1	9384	359	0	
49n	3481464	1.1	9384	371	0	
50n	3565920	1.1	9384	380	0	
51n	3575304	1.2	9384	381	0	
52n	3462696	1.1	9384	369	0	
53n	3340704	1.1	9384	356	0	
54n	3171792	1	9384	338	0	
						
IDV = Integrated Density Value						
* Based on Integrated Density Value						
