trna,cell_line,samplelabel,mean_chargedfraction,stdev,sterr
ACG,hrGFP,Rich,0.867086821,0.011722668,0.006768085
ACG,RagB-WT,Rich,0.861370056,0.039805913,0.022981955
ACG,RagB-Q99L,Rich,0.87091058,0.028014261,0.016174041
ACG,hrGFP,Leu,0.888570885,0.025226018,0.014564248
ACG,RagB-WT,Leu,0.878085651,0.022599358,0.013047745
ACG,RagB-Q99L,Leu,0.880613072,0.031513146,0.018194123
ACG,hrGFP,Arg,0.250473834,0.065666112,0.037912348
ACG,RagB-WT,Arg,0.300333523,0.130741742,0.07548378
ACG,RagB-Q99L,Arg,0.264112499,0.016948578,0.009785266
CCG,hrGFP,Rich,0.928690659,0.037335667,0.021555757
CCG,RagB-WT,Rich,0.92861992,0.020878379,0.012054138
CCG,RagB-Q99L,Rich,0.93053337,0.02919386,0.016855083
CCG,hrGFP,Leu,0.935807053,0.025021721,0.014446297
CCG,RagB-WT,Leu,0.943702265,0.027678288,0.015980067
CCG,RagB-Q99L,Leu,0.921813919,0.040920201,0.023625289
CCG,hrGFP,Arg,0.520959127,0.057840532,0.033394247
CCG,RagB-WT,Arg,0.477732471,0.048563536,0.028038171
CCG,RagB-Q99L,Arg,0.49829201,0.077204178,0.044573853
TCG,hrGFP,Rich,0.946696185,0.008686123,0.005014935
TCG,RagB-WT,Rich,0.943982484,0.000717352,0.000414163
TCG,RagB-Q99L,Rich,0.926105138,0.009735108,0.005620567
TCG,hrGFP,Leu,0.936255198,0.031116246,0.017964973
TCG,RagB-WT,Leu,0.936467633,0.01255341,0.007247715
TCG,RagB-Q99L,Leu,0.937773836,0.016467801,0.009507689
TCG,hrGFP,Arg,0.51308447,0.050286173,0.029032736
TCG,RagB-WT,Arg,0.512883527,0.053651014,0.030975427
TCG,RagB-Q99L,Arg,0.441226922,0.087025415,0.050244147
