ACG1,,Charged,Uncharged,Fraction Uncharged,,,,
rep1,Rich,65600.68,5023.116,0.071124979,,,,
,Rich Torin,43905.044,6363.116,0.126583428,,,,
,Leu,46305.023,6762.329,0.127429177,,,,
,Leu Torin,64121.831,7487.572,0.104561296,,,,
,Arg,26287.019,39372.2,0.599644659,,,,
,Arg Torin,47960.032,10572.622,0.180627757,,,,
,,,,,,,,
,,,,,,Average Uncharged Fraction,Average Charged Fraction,StDev Uncharged Fraction
rep2,Rich,50160.626,4270.64,0.078459318,Rich,0.110215351,0.889784649,0.061464282
,Rich Torin,28736.383,2364.225,0.07601861,Rich + Torin,0.125347246,0.874652754,0.048722309
,Leu,46756.919,5105.731,0.098447168,Leu,0.119799326,0.880200674,0.018740745
,Leu Torin,49405.919,3685.66,0.069420802,Leu + Torin,0.076090461,0.923909539,0.025791123
,Arg,22628.007,39263.492,0.634392326,Arg,0.612744027,0.387255973,0.01888553
,Arg Torin,41962.395,5316.903,0.112457317,Arg + Torin,0.130061619,0.869938381,0.044459692
,,,,,,,,
rep 3,,,,,,,,
,Rich,47209.224,10437.643,0.181061757,,,,
,Rich Torin,28253.032,5928.421,0.173439701,,,,
,Leu,41381.253,6376.723,0.133521634,,,,
,Leu Torin,31143.383,1787.811,0.054289286,,,,
,Arg,19457.94,29702.492,0.604195097,,,,
,Arg Torin,32513.212,3496.539,0.097099783,,,,
