CCG3,,,,,,,,
rep3,,Charged,Uncharged,Fraction Uncharged,,,,
,Rich,61394.818,6094.225,0.090299473,,,,
,Rich Torin,57240.576,4410.104,0.071533745,,,,
,Leu,56910.233,3792.983,0.062484054,,,,
,Leu Torin,54564.404,5400.711,0.090064215,,,,
,Arg,33788.714,31146.501,0.479655007,,,,
,Arg Torin,40595.827,5405.64,0.117510165,,,,
,,,,,,,,
,,,,,,Average Uncharged Fraction,Average Charged Fraction,StDev Uncharged Fraction
rep2,1,50667.09,4924.347,0.088581035,Rich,0.068930449,0.931069551,0.035534413
,2,47243.011,3356.933,0.066342623,Rich + Torin,0.063906289,0.936093711,0.00909378
,3,52618.881,2596.062,0.047017381,Leu,0.048369443,0.951630557,0.013489494
,4,46235.375,2542.598,0.052125946,Leu + Torin,0.061406188,0.938593812,0.025326902
,5,25635.622,24196.338,0.485558625,Arg,0.478570843,0.521429157,0.007588176
,6,34986.605,2437.276,0.065126222,Arg + Torin,0.071721374,0.928278626,0.042873365
,,,,,,,,
,,,,,,,,
rep1,1,38253.919,1098.355,0.027910839,,,,
,2,35311.019,2009.426,0.053842498,,,,
,3,39501.475,1458.456,0.035606896,,,,
,4,41861.233,1836.548,0.042028404,,,,
,5,21165.844,18807.338,0.470498896,,,,
,6,44726.626,1503.77,0.032527733,,,,
