trna,samplelabel,mean_chargedfraction,stdev,stderr
ACG,Rich,0.712270406,0.093245086,0.053835075
ACG,Rich_Torin1,0.700963179,0.080094163,0.046242387
ACG,Leu,0.742059986,0.046757291,0.026995335
ACG,Leu_Torin1,0.816971798,0.019164559,0.011064663
ACG,Arg,0.17983272,0.044126247,0.025476301
ACG,Arg_Torin1,0.665838973,0.050394605,0.029095339
CCG,Rich,0.91428286,0.00479939,0.002770929
CCG,Rich_Torin1,0.87892047,0.007913598,0.004568918
CCG,Leu,0.880197152,0.023183965,0.013385269
CCG,Leu_Torin1,0.875743052,0.011157372,0.006441711
CCG,Arg,0.537782618,0.057176861,0.033011076
CCG,Arg_Torin1,0.872664758,0.019093771,0.011023794
