replicate,samplelabel,eif2a_total,eif2a_s51_phospho,relativephosindex,mean_relativephosindex,stdev_relativephosindex,normalizedtorich_mean_relativephosindex,stdev_normalizedtorich,sterr_normalizedtorich,order
1,Rich,14660.217,1054.355,0.071919467,0.076752592,0.031751488,1,0.585040624,0.337773362,1
1,-Leucine 3 hours,15001.874,9940.368,0.662608418,0.477634424,0.166347383,6.223039634,3.365224284,1.942913146,2
1,-Arginine 3 hours,15968.752,10963.874,0.686583022,0.51698632,0.148337306,6.735750613,3.391123255,1.957865924,3
1,-Leucine 6 hours,15702.066,9543.731,0.607800973,0.489614937,0.126429875,6.379132252,3.110868221,1.796060605,4
1,-Arginine 6 hours,15460.409,10156.388,0.656928804,0.53391948,0.131266864,6.956370654,3.347604978,1.932740635,5
1,-Leucine 12 hours,17572.551,11601.51,0.660206364,0.549735782,0.150799842,7.162439279,3.555226345,2.052610887,6
1,-Arginine 12 hours,16553.894,9300.803,0.561849858,0.664586394,0.257957781,8.658813658,4.911883454,2.835877235,7
2,Rich,16778.238,800.234,0.047694758,,,,,,
2,-Leucine 3 hours,11739.924,3995.276,0.340315321,,,,,,
2,-Arginine 3 hours,11696.581,4812.104,0.411411164,,,,,,
2,-Leucine 6 hours,11196.995,5651.589,0.504741585,,,,,,
2,-Arginine 6 hours,9781.338,5371.054,0.549112402,,,,,,
2,-Leucine 12 hours,8579.681,5242.761,0.611067125,,,,,,
2,-Arginine 12 hours,11327.116,10852.317,0.958082975,,,,,,
3,Rich,12469.945,1379.719,0.110643551,,,,,,
3,-Leucine 3 hours,10813.631,4649.64,0.429979532,,,,,,
3,-Arginine 3 hours,11292.388,5115.054,0.452964776,,,,,,
3,-Leucine 6 hours,13802.217,4917.761,0.356302252,,,,,,
3,-Arginine 6 hours,13844.095,5478.347,0.395717235,,,,,,
3,-Leucine 12 hours,13251.459,5008.175,0.377933856,,,,,,
3,-Arginine 12 hours,16289.187,7718.246,0.473826349,,,,,,
