transcript_id	length	gene_name	counts
ENST00000578186.2	312	HIST2H4A	41020.8
ENST00000295900.10	2679	ATXN7	33329.2
ENST00000331789.9	1128	ACTB	28948.9
ENST00000316084.9	792	RPS4X	24262.2
ENST00000229239.9	1008	GAPDH	23402.5
ENST00000302182.7	690	UBB	22752
ENST00000369155.3	381	HIST2H2BE	21990.4
ENST00000216281.12	2199	HSP90AA1	20423.6
ENST00000309268.10	1389	EEF1A1	20239.1
ENST00000296930.9	885	NPM1	20108.6
ENST00000621411.1	411	HIST1H3B	20055
ENST00000468812.5	498	PPIA	19904
ENST00000512805.5	954	GNB2L1	17347.6
ENST00000607355.2	393	HIST2H2AA4	17338.3
ENST00000331925.6	1128	ACTG1	16657.5
ENST00000336023.9	1356	TUBA1B	16566.6
ENST00000293831.12	1221	EIF4A1	16361.8
ENST00000234590.8	1305	ENO1	15906.7
ENST00000343677.3	642	HIST1H1C	15855.8
ENST00000289316.2	381	HIST1H2BD	15145.1
ENST00000202773.13	867	RPL6	14703.2
ENST00000369158.1	411	HIST2H3C	14523.1
ENST00000403683.1	411	HIST2H3A	14523.1
ENST00000353801.7	2175	HSP90AB1	14250.8
ENST00000309311.6	2577	EEF2	13686
ENST00000377803.3	312	HIST1H4C	13657.5
ENST00000356950.1	381	HIST1H2BK	13092.2
ENST00000323345.10	801	RPL7A	12503.6
ENST00000327892.12	1335	TUBB	12128.8
ENST00000592588.6	438	RPS15	12126.8
ENST00000339812.2	381	HIST1H2BJ	12055.3
ENST00000370321.7	894	RPL5	11757.3
ENST00000215754.7	348	MIF	11712.5
ENST00000372360.7	402	RPS24	11501.5
ENST00000356674.7	1026	HNRNPA2B1	11425.7
ENST00000369159.2	393	HIST2H2AA3	11222.5
ENST00000350669.5	1005	LDHB	11167.6
ENST00000262584.7	774	RPL8	11081.5
ENST00000264335.12	768	YWHAE	11075.6
ENST00000262746.5	600	PRDX1	11051.2
ENST00000307961.10	1284	RPL4	10681.3
ENST00000345042.6	1722	HSPD1	10668.2
ENST00000376263.7	1395	HNRNPK	10600.2
ENST00000262850.7	1125	RRAGB	10580.8
ENST00000525634.5	456	RPS13	10562.2
ENST00000524851.5	732	RPS3	10499.3
ENST00000304921.9	585	RPS7	10367.3
ENST00000355057.2	312	HIST1H4J	10277.2
ENST00000336458.12	465	EIF5A	10136.7
ENST00000369163.3	411	HIST1H3H	9967.7
ENST00000394077.7	474	RPL24	9826.4
ENST00000359193.3	393	HIST1H2AG	9736.8
ENST00000344746.8	645	RPL10	9678.7
ENST00000379412.9	999	LDHA	9641.2
ENST00000335181.9	1596	PKM	9372.4
ENST00000330244.10	408	RPS17	9316.7
ENST00000377727.1	312	HIST1H4H	9288.6
ENST00000338110.9	1095	ALDOA	9250.5
ENST00000326199.12	498	RPS10	9233.7
ENST00000307839.9	615	RPL15	9095.8
ENST00000396651.7	627	RPS8	9051.4
ENST00000317881.8	897	SLC25A5	8925.2
ENST00000348956.6	1146	CKB	8909.7
ENST00000253788.9	411	RPL27	8830.6
ENST00000225430.8	591	RPL19	8732.5
ENST00000322723.8	2133	NCL	8703.4
ENST00000546500.5	963	HNRNPA1	8645.3
ENST00000430246.6	882	HNRNPC	8560
ENST00000356769.7	648	NACA	8557.7
ENST00000312037.5	456	RPS14	8487.9
