transcript_id	length	gene_name	counts
ENST00000578186.2	312	HIST2H4A	56376.2
ENST00000309268.10	1389	EEF1A1	50092.2
ENST00000331789.9	1128	ACTB	47123.3
ENST00000621411.1	411	HIST1H3B	45655.8
ENST00000403683.1	411	HIST2H3A	43434.1
ENST00000229239.9	1008	GAPDH	41979.1
ENST00000316084.9	792	RPS4X	41731.9
ENST00000369159.2	393	HIST2H2AA3	33438.9
ENST00000343677.3	642	HIST1H1C	33249.2
ENST00000234590.8	1305	ENO1	33191.5
ENST00000377803.3	312	HIST1H4C	31199.8
ENST00000309311.6	2577	EEF2	30686.3
ENST00000356950.1	381	HIST1H2BK	30320.9
ENST00000336023.9	1356	TUBA1B	30092.2
ENST00000296930.9	885	NPM1	29963.3
ENST00000302182.7	690	UBB	29615
ENST00000512805.5	954	GNB2L1	29506.3
ENST00000304218.5	660	HIST1H1E	28807.4
ENST00000370321.7	894	RPL5	28316.8
ENST00000331925.6	1128	ACTG1	28247.8
ENST00000216281.12	2199	HSP90AA1	27239.8
ENST00000369155.3	381	HIST2H2BE	26805.5
ENST00000202773.13	867	RPL6	25127.9
ENST00000356674.7	1026	HNRNPA2B1	24822.2
ENST00000293831.12	1221	EIF4A1	24729.5
ENST00000615164.2	312	HIST1H4E	24057
ENST00000353801.7	2175	HSP90AB1	24000.2
ENST00000350669.5	1005	LDHB	23218.2
ENST00000369163.3	411	HIST1H3H	22976.4
ENST00000344746.8	645	RPL10	22866
ENST00000262584.7	774	RPL8	22354.4
ENST00000376263.7	1395	HNRNPK	22180.4
ENST00000323345.10	801	RPL7A	21744.5
ENST00000355057.2	312	HIST1H4J	21483.3
ENST00000355899.7	1893	PLS3	20753.9
ENST00000326199.12	498	RPS10	20371.4
ENST00000321358.11	975	YBX1	20176
ENST00000352983.6	747	RPL7	20132.2
ENST00000345042.6	1722	HSPD1	20008.1
ENST00000262030.7	1590	ATP5B	19994.6
ENST00000274065.8	795	RPS3A	19725.4
ENST00000307961.10	1284	RPL4	19485.8
ENST00000289316.2	381	HIST1H2BD	19322.6
ENST00000225430.8	591	RPL19	19198
ENST00000331380.3	390	HIST2H2AC	19037.3
ENST00000380394.8	750	RPS6	19024.7
ENST00000304921.9	585	RPS7	18899.4
ENST00000396651.7	627	RPS8	18874.1
ENST00000327892.12	1335	TUBB	18779.3
ENST00000339812.2	381	HIST1H2BJ	18650.6
ENST00000607355.2	393	HIST2H2AA4	18568.3
ENST00000311528.9	636	RPL13	18361.7
ENST00000524851.5	732	RPS3	18187.6
ENST00000444376.6	2421	HNRNPU	18175.5
ENST00000348956.6	1146	CKB	18081.3
ENST00000216146.8	1212	RPL3	17967.2
ENST00000379412.9	999	LDHA	17678.7
ENST00000329251.4	1314	EEF1G	17512.7
ENST00000396953.6	408	RPL32	17445.3
ENST00000430246.6	882	HNRNPC	17323.2
ENST00000270625.6	477	RPS11	17133.3
ENST00000592588.6	438	RPS15	16937.9
ENST00000264258.7	378	RPL31	16822.9
ENST00000377791.3	393	HIST1H2AC	16809
ENST00000377727.1	312	HIST1H4H	16622
ENST00000253788.9	411	RPL27	16617.9
ENST00000331491.1	411	HIST2H3D	15996.4
ENST00000371085.7	1185	GNAS	15947.9
ENST00000394332.5	423	RPL23	15853.2
ENST00000322723.8	2133	NCL	15851.3
ENST00000372360.7	402	RPS24	15814
ENST00000264335.12	768	YWHAE	15800.5
ENST00000394077.7	474	RPL24	15529.3
ENST00000338110.9	1095	ALDOA	15006.6
ENST00000394440.7	1620	CCT4	14920.2
ENST00000293842.9	438	RPL26	14852.2
ENST00000317881.8	897	SLC25A5	14774
ENST00000348462.5	372	RPL35	14632.3
ENST00000307839.9	615	RPL15	14571.1
ENST00000546500.5	963	HNRNPA1	14495.5
ENST00000343262.8	882	RPS2	14421.3
ENST00000335181.9	1596	PKM	14123.6
ENST00000295955.13	579	RPL9	14064
ENST00000272317.10	471	RPS27A	13975.8
ENST00000392369.6	651	RAN	13934.7
ENST00000468812.5	498	PPIA	13859.3
ENST00000391857.8	612	RPL13A	13754.8
ENST00000439602.6	459	RPS18	13474.4
ENST00000251453.7	441	RPS16	13425.7
ENST00000215754.7	348	MIF	13214.6
ENST00000374550.7	537	RPL11	13184.4
ENST00000549920.5	567	RPL18	13152
ENST00000336458.12	465	EIF5A	13091.8
ENST00000370994.8	1164	SERBP1	13073.8
ENST00000314191.6	12387	PRKDC	13065.8
ENST00000614247.1	312	HIST1H4D	13020.1
ENST00000295688.7	1638	CCT3	12974.2
ENST00000359193.3	393	HIST1H2AG	12703
ENST00000296417.5	387	H2AFZ	12515.4
ENST00000330244.10	408	RPS17	12485.7
ENST00000359308.8	1830	XRCC6	12479.9
ENST00000312037.5	456	RPS14	12360
ENST00000347512.7	318	RPL36	12279.7
ENST00000579248.5	555	RPL17	12245.8
ENST00000262746.5	600	PRDX1	12222.8
ENST00000299767.9	2412	HSP90B1	12207.9
ENST00000262982.2	2916	CSE1L	11943.7
ENST00000274242.9	294	RPL37	11748.5
ENST00000322203.6	654	RPL10A	11740.8
ENST00000525634.5	456	RPS13	11707.6
ENST00000584895.5	687	RPL17-C18orf32	11561.8
ENST00000258091.9	1632	CCT7	11531.8
ENST00000377745.3	312	HIST1H4B	11449.2
ENST00000349496.9	2346	CTNNB1	11430.8
ENST00000344063.6	414	RPL28	11415
ENST00000393193.6	804	NME1-NME2	11360.4
ENST00000228306.8	954	RPLP0	11358.4
ENST00000358739.4	393	HIST1H2AI	11322.9
ENST00000247461.8	1779	CANX	11232.6
ENST00000369167.2	381	HIST2H2BF	11225.2
ENST00000295598.9	3072	ATP1A1	11192.4
ENST00000338970.10	648	RPL14	11150.7
ENST00000369158.1	411	HIST2H3C	11112.5
ENST00000302907.8	585	RPS9	11024.1
ENST00000356769.7	648	NACA	11023.6
ENST00000314332.5	381	HIST1H2BC	10891.7
ENST00000394665.5	354	RPL34	10807
ENST00000297185.7	2040	HSPA9	10652.4
ENST00000286788.8	1647	CCT8	10600
ENST00000175506.8	1686	ASNS	10450.8
ENST00000331666.10	2742	EIF3C	10280.3
ENST00000282050.6	1662	ATP5A1	10272.6
ENST00000304992.10	7008	PRPF8	10255.9
ENST00000335972.10	3177	UBA1	10184.5
ENST00000308162.9	501	CFL1	10098.4
ENST00000356731.9	1350	HNRNPH1	10074.2
ENST00000377459.2	387	HIST1H2AH	10015.9
ENST00000220849.9	1338	EIF3E	9991.5
ENST00000366794.9	3045	PARP1	9964.3
ENST00000369409.8	1602	PHGDH	9854.7
ENST00000422514.6	471	RPL23A	9429.5
ENST00000322989.8	393	RPS15A	9425.8
ENST00000321394.11	1671	TCP1	9363.5
ENST00000296674.12	432	RPS23	9288.2
ENST00000430157.6	387	UBA52	9235.7
ENST00000613854.1	411	HIST1H3A	9198.5
ENST00000448864.5	333	RPL35A	9194.1
ENST00000366923.7	4539	EPRS	9043.9
ENST00000196551.7	615	RPS5	9030.9
ENST00000392132.6	2199	XRCC5	9008.9
ENST00000335895.12	489	BTF3	8838.9
ENST00000280326.8	1626	CCT5	8733
ENST00000294189.10	480	RPL29	8595.7
ENST00000359611.3	393	HIST1H2AM	8523.9
ENST00000376588.3	1113	PSAT1	8281.8
ENST00000491306.5	279	RPL37A	8236.1
ENST00000339647.5	2058	UBC	8159.2
ENST00000380087.6	1278	RBBP7	8158.1
ENST00000299300.10	1608	CCT2	8151.3
ENST00000313899.11	1068	HNRNPD	8054.5
ENST00000290158.8	2631	KPNB1	8033.8
ENST00000396705.9	750	TPI1	8021.5
ENST00000369626.7	1503	SLC16A1	7969.4
ENST00000324460.6	1965	HSPA5	7933.4
ENST00000373715.10	495	SRSF3	7820.3
ENST00000221419.9	1770	HNRNPL	7779.6
ENST00000396172.5	1287	DDX39B	7754.7
ENST00000276079.12	1416	NONO	7735.8
ENST00000225698.8	849	C1QBP	7655.5
ENST00000375643.7	3789	IARS	7654.9
ENST00000264221.6	1278	PAICS	7642.9
ENST00000265112.7	2172	TARS	7627.2
ENST00000325495.8	2193	HNRNPM	7528.4
ENST00000339995.9	2724	EIF4G2	7522.9
ENST00000353245.7	738	YWHAZ	7434.6
ENST00000370355.2	1080	SCD	7384.6
ENST00000593863.5	438	RPS19	7382.1
ENST00000245458.10	171	RPS29	7336.7
ENST00000616182.1	381	HIST1H2BO	7331.6
ENST00000322030.12	834	SET	7325.5
ENST00000373316.4	1254	PGK1	7302.8
ENST00000356487.9	1677	GPI	7190.4
ENST00000269122.7	5028	CLTC	7188.4
ENST00000376755.1	474	RBM3	7087.7
ENST00000311111.10	213	RPL38	7031.5
ENST00000275603.8	1596	CCT6A	7009.6
ENST00000343986.8	252	RPS21	6995.7
ENST00000422453.6	534	CNBP	6894.1
ENST00000304858.6	2523	HSPA4	6887.2
ENST00000287038.7	348	RPL30	6856.5
ENST00000236957.9	678	EEF1B2	6842.6
ENST00000302271.10	1902	HNRNPR	6799.7
ENST00000361575.3	156	RPL39	6789.9
ENST00000262105.6	2592	MCM4	6766.2
ENST00000340385.5	675	PRDX6	6753.9
ENST00000352035.6	3306	ACLY	6747
ENST00000256689.9	1521	SLC38A2	6684.1
ENST00000379143.9	786	PCNA	6622.6
ENST00000393190.4	459	NME2	6534.1
ENST00000301764.11	3423	DDB1	6518.3
ENST00000361059.7	2544	MATR3	6511.5
ENST00000394805.7	2544	MATR3	6511.5
ENST00000356638.7	2835	GANAB	6496.1
ENST00000316448.9	1254	CALR	6468.6
ENST00000263574.9	2292	APLP2	6412.6
ENST00000354185.8	2352	DDX21	6381.4
ENST00000389266.7	2220	GARS	6379.8
ENST00000438552.6	723	SNRPB	6332.9
ENST00000228318.7	1089	SLC25A3	6287.6
ENST00000244020.4	1035	SRSF6	6277.2
ENST00000254108.11	1581	FUS	6258.5
ENST00000284727.8	429	ATP5G3	6255.5
ENST00000331821.7	606	RANBP1	6245.7
ENST00000393196.7	459	NME1	6245.6
ENST00000314138.10	447	RPL27A	6239.2
ENST00000253024.9	2508	TRIM28	6236.7
ENST00000369722.7	771	ATP5F1	6213.5
ENST00000361436.9	498	RPL12	6201.3
ENST00000044462.11	786	PSMA4	6190.9
ENST00000321153.8	348	RPLP2	6189.4
ENST00000303887.9	2160	MCM7	6153.8
ENST00000367142.4	732	NUCKS1	6152
ENST00000315758.9	1017	MDH2	6151.4
ENST00000372129.3	3774	IRS4	6148.8
ENST00000247655.3	192	COX7C	6120.4
ENST00000335508.10	3915	SF3B1	6105.9
ENST00000238081.7	738	YWHAQ	6094.4
ENST00000349038.8	1596	PTBP1	6064.7
ENST00000216605.12	2808	MTHFD1	6061
ENST00000341023.1	393	HIST1H2AD	6036.4
ENST00000401558.6	3216	XPO1	6035.3
ENST00000361891.8	1173	ILF2	6027.6
ENST00000367549.3	3813	DHX9	6027
ENST00000519065.5	1467	HDAC2	5999
ENST00000290541.6	795	PSMB4	5990.6
ENST00000546463.5	1089	PCBP2	5970.1
ENST00000270142.10	465	SOD1	5874.6
ENST00000278412.6	2130	SSRP1	5824.2
ENST00000265304.10	447	SSBP1	5798.2
ENST00000262193.6	726	PSMB1	5758.8
ENST00000346169.6	4800	EIF4G1	5751.6
ENST00000305218.8	1632	STIP1	5743.5
ENST00000333511.7	1158	BSG	5684.9
ENST00000290299.6	642	ATP5O	5667.5
ENST00000399959.6	1989	DDX3X	5646.8
ENST00000222247.9	531	RPL18A	5630.7
ENST00000221801.7	966	FBL	5591.5
ENST00000539745.1	312	HIST4H4	5584.4
ENST00000374517.5	318	TXN	5565.8
ENST00000394434.6	3531	LARS	5545.7
ENST00000303305.10	1185	PA2G4	5527.6
ENST00000261182.12	1176	NAP1L1	5525.9
ENST00000301821.10	888	RPSA	5509.5
ENST00000531224.5	2763	BCLAF1	5508.6
ENST00000300408.7	819	PHB	5457.9
ENST00000469257.1	342	EIF1	5454.2
ENST00000481445.1	243	COX7B	5442
ENST00000359303.3	411	HIST1H3J	5425.9
ENST00000615868.1	393	HIST1H2AB	5425
ENST00000449870.5	2697	ILF3	5394.9
ENST00000542575.6	1626	SLC1A5	5394.4
ENST00000336812.4	2388	DHX15	5383.1
ENST00000423485.5	4596	TOP2A	5379.9
ENST00000225655.5	423	PFN1	5375.5
ENST00000323853.9	6411	SNRNP200	5370.4
ENST00000353703.8	741	YWHAB	5345.1
ENST00000295470.9	1263	HNRNPDL	5340
ENST00000358344.7	999	HNRNPAB	5337.1
ENST00000260956.8	1227	SSB	5329.4
ENST00000337304.2	1056	ATF4	5298.7
ENST00000371437.4	213	NDUFA1	5293.4
ENST00000369144.7	4149	EIF3A	5292.7
ENST00000260379.10	345	RPLP1	5254.1
ENST00000324545.8	7713	USP9X	5237.1
ENST00000360184.8	13941	DYNC1H1	5223.5
ENST00000254810.8	411	H3F3B	5221.9
ENST00000531120.5	1125	EIF3M	5206.2
ENST00000285968.10	6039	NUP205	5197.4
ENST00000342669.7	357	SNRPD2	5182.7
ENST00000335698.4	894	ATP5C1	5149.2
ENST00000260641.9	1185	ACTR2	5142.4
ENST00000360458.5	867	MORF4L2	5140.6
ENST00000260665.11	4185	LRPPRC	5110.5
ENST00000267115.9	714	TMBIM6	5106.5
ENST00000274606.7	462	NHP2	5100.3
ENST00000301740.12	8259	SRRM2	5071.6
ENST00000304758.5	2028	AMOT	5030.9
ENST00000236959.13	1779	ATIC	5029.4
ENST00000373232.7	870	PPA1	5010.1
ENST00000269349.7	1236	EIF4A3	4986.6
ENST00000612898.1	381	HIST1H2BN	4973.3
ENST00000262854.10	13125	HUWE1	4960.2
ENST00000371144.7	3696	STAG2	4952.2
ENST00000378665.1	249	UQCRQ	4932.5
ENST00000224237.9	1401	VIM	4924.5
ENST00000345046.10	741	BCAP31	4922.5
ENST00000557342.5	330	SLIRP	4888
ENST00000268379.8	1362	UQCRC2	4864.8
ENST00000346798.7	2313	APP	4846.3
ENST00000377889.6	1707	SLC3A2	4846.1
ENST00000373586.1	978	EIF3I	4831.6
ENST00000379719.7	3117	IPO7	4830.3
ENST00000326739.8	1545	IMPDH2	4797.8
ENST00000392524.6	1137	HNRNPA3	4797.7
ENST00000423525.6	1872	TKT	4783.2
ENST00000313117.10	717	SRSF7	4769.7
ENST00000264156.2	2466	MCM6	4733.8
ENST00000344722.5	3867	SMC4	4730
ENST00000341394.8	2130	CAPRIN1	4723.6
ENST00000287022.9	336	UQCRB	4711.8
ENST00000261772.12	2907	AARS	4710
ENST00000273550.11	552	FTH1	4695.6
ENST00000356245.7	1401	G3BP1	4681.5
ENST00000233114.12	1005	MDH1	4665.8
ENST00000009589.7	360	RPS20	4658.3
ENST00000300738.9	2379	RRM1	4655
ENST00000418115.5	582	RHOA	4653.6
ENST00000357214.5	2124	SFPQ	4626.7
ENST00000326587.11	2337	MAGED1	4612.3
ENST00000350030.7	2367	NASP	4595.4
ENST00000231572.7	1983	RARS	4593.7
ENST00000301072.10	1350	TUBA1C	4590.1
ENST00000338920.8	8454	PRRC2C	4586.5
ENST00000571133.5	1473	RSL1D1	4580.4
ENST00000216297.6	3144	SUPT16H	4577.1
ENST00000617569.1	312	HIST1H4A	4575.9
ENST00000527548.5	402	FAU	4549.7
ENST00000298510.3	771	PRDX3	4545.6
ENST00000283131.3	3159	SMARCA5	4510.5
ENST00000539276.6	3129	ATP2A2	4508.2
ENST00000366582.7	6435	HEATR1	4493.2
ENST00000262033.10	483	PTGES3	4489.6
ENST00000233084.7	2223	DDX1	4487.7
ENST00000229390.7	666	SRSF9	4453.2
ENST00000398606.7	633	GSTP1	4399.3
ENST00000253039.8	1419	EIF2S3	4396.9
ENST00000313511.7	1368	TUFM	4389.4
ENST00000306749.3	7536	FASN	4388.5
ENST00000246957.9	2115	TRAP1	4366.7
ENST00000234677.6	1545	SARS	4359.7
ENST00000394186.3	267	ATP5J2	4359.7
ENST00000216218.7	1110	ST13	4342
ENST00000366813.1	411	H3F3A	4340.1
ENST00000300289.9	1518	PDIA3	4314.4
ENST00000272298.11	450	CALM2	4312.8
ENST00000535923.5	900	PHB2	4292
ENST00000228251.8	1119	YBX3	4282.4
ENST00000322088.10	1770	PPP2R1A	4270.7
ENST00000396394.6	792	PSMA1	4267.2
ENST00000381815.8	3033	GART	4245.6
ENST00000392708.8	2118	STT3A	4229.8
ENST00000330459.7	1590	KPNA2	4229.2
ENST00000329276.9	1785	NOP56	4228.5
ENST00000368884.7	1134	PSMD4	4219.1
ENST00000367679.6	687	CACYBP	4203.5
ENST00000398148.7	2136	KHSRP	4198.5
ENST00000506351.6	2673	TNPO1	4194.7
ENST00000320676.11	1176	RBMX	4192.5
