"notstall"	"other"	"stall"	"n"	"mu"	"sigma"	"z"	"gene_name"
"1"	32	44	2	34	8.99265518232459	2.57180658047565	-2.71896620663881	"GOLGA6L2"
"2"	17	35	0	17	4.4963275911623	1.81854187295452	-2.47249054752711	"ZNF133"
"3"	27	16	2	29	7.67020589080627	2.3751871971672	-2.38726694787211	"IKBKB"
"4"	13	3	0	13	3.43836815794764	1.59026873548348	-2.1621302621549	"RBFOX3"
"5"	18	9	1	19	5.02530730776962	1.92254115430731	-2.09374311637035	"PHF23"
"6"	18	14	1	19	5.02530730776962	1.92254115430731	-2.09374311637035	"GLS"
"7"	17	14	1	18	4.76081744946596	1.87126414940465	-2.0097736873025	"GRHL1"
"8"	17	1	1	18	4.76081744946596	1.87126414940465	-2.0097736873025	"EMC10"
"9"	11	9	0	11	2.90938844134031	1.46283447619336	-1.98887057195373	"PGD"
"10"	11	18	0	11	2.90938844134031	1.46283447619336	-1.98887057195373	"ELP2"
"11"	11	11	0	11	2.90938844134031	1.46283447619336	-1.98887057195373	"SLC23A3"
"12"	16	22	1	17	4.4963275911623	1.81854187295452	-1.92259944253136	"AIFM1"
"13"	16	25	1	17	4.4963275911623	1.81854187295452	-1.92259944253136	"ICK"
"14"	10	13	0	10	2.64489858303664	1.39475794730904	-1.89631368520936	"RBBP5"
"15"	10	7	0	10	2.64489858303664	1.39475794730904	-1.89631368520936	"MRPS23"
"16"	10	4	0	10	2.64489858303664	1.39475794730904	-1.89631368520936	"SLC25A20"
"17"	10	5	0	10	2.64489858303664	1.39475794730904	-1.89631368520936	"NAA40"
"18"	10	8	0	10	2.64489858303664	1.39475794730904	-1.89631368520936	"MRPL23"
"19"	10	9	0	10	2.64489858303664	1.39475794730904	-1.89631368520936	"TFDP2"
"20"	10	3	0	10	2.64489858303664	1.39475794730904	-1.89631368520936	"MAP2K6"
"21"	20	28	2	22	5.81877688268062	2.06876035573959	-1.84592520447609	"TLK2"
"22"	15	29	1	16	4.23183773285863	1.76424475924707	-1.83185338424238	"DSG4"
"23"	15	9	1	16	4.23183773285863	1.76424475924707	-1.83185338424238	"RBPJ"
"24"	15	18	1	16	4.23183773285863	1.76424475924707	-1.83185338424238	"LRRFIP2"
"25"	24	6	3	27	7.14122617419894	2.29182117000228	-1.80695868787826	"NDUFS2"
"26"	24	33	3	27	7.14122617419894	2.29182117000228	-1.80695868787826	"GOLGA6L6"
"27"	9	13	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"CPA4"
"28"	9	11	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"RAD51"
"29"	9	16	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"CREBRF"
"30"	9	25	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"ZSCAN30"
"31"	9	2	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"VKORC1L1"
"32"	9	18	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"DDO"
"33"	9	5	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"SMAP2"
"34"	9	16	0	9	2.38040872473298	1.3231835694353	-1.79900112102274	"ZNF345"
"35"	19	18	2	21	5.55428702437695	2.02119628841971	-1.75850660558847	"ARHGAP26"
"36"	14	39	1	15	3.96734787455497	1.7082226427994	-1.73709667592986	"ZNF343"
"37"	14	12	1	15	3.96734787455497	1.7082226427994	-1.73709667592986	"FAM151A"
"38"	8	4	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"HIBADH"
"39"	8	7	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"CCNDBP1"
"40"	8	1	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"SS18L1"
"41"	8	6	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"GSG1"
"42"	8	10	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"IGSF11"
"43"	8	9	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"GRXCR2"
"44"	8	3	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"SLC41A3"
"45"	8	22	0	8	2.11591886642932	1.24750943293643	-1.69611452271651	"ZNF493"
