"notstall"	"stall"	"n"	"mu"	"sigma"	"z"	"gene_name"
"1"	427	32	459	121.400844961382	9.44942075894607	-9.4609867887133	"MUC16"
"2"	272	10	282	74.5861400416334	7.40667688174693	-8.71998887933128	"NBPF10"
"3"	236	17	253	66.9159341508271	7.01550769431675	-7.11508508375865	"IGFN1"
"4"	270	25	295	78.024508199581	7.57547470998753	-6.99949643151383	"CCDC168"
"5"	265	26	291	76.9665487663664	7.52394027016616	-6.77391724764992	"STARD9"
"6"	215	16	231	61.0971572681465	6.70354971634713	-6.72735478610288	"FSIP2"
"7"	291	36	327	86.4881836652983	7.97577182614462	-6.33019408852668	"ASPM"
"8"	140	5	145	38.3510294540313	5.31108003215306	-6.27951927896503	"FLG2"
"9"	180	16	196	51.8400122275182	6.17485665736474	-5.80418529793269	"AKAP9"
"10"	117	5	122	32.2677627130471	4.87168007214113	-5.59719897638162	"EXPH5"
"11"	138	10	148	39.1444990289423	5.36574095791154	-5.4315889003121	"MDC1"
"12"	147	12	159	42.0538874702826	5.56156998806536	-5.40384954873815	"BDP1"
"13"	114	6	120	31.7387829964397	4.83158325799946	-5.32719434231524	"LPA"
"14"	138	11	149	39.408988887246	5.38383794337902	-5.27671694170941	"NKTR"
"15"	159	17	176	46.5502150614449	5.85133790477343	-5.05016383301644	"ALMS1"
"16"	249	39	288	76.1730791914554	7.48505659761859	-4.96630569276954	"SYNE2"
"17"	123	10	133	35.1771511543874	5.08656577958418	-4.94973470223077	"CEP295"
"18"	76	2	78	20.6302089476858	3.89534695583557	-4.78268281591096	"GOLGA6L2"
"19"	217	33	250	66.1224645759161	6.97378973654519	-4.74956455918686	"KMT2C"
"20"	114	10	124	32.7967424296544	4.91144954892273	-4.64155076878568	"CENPE"
"21"	200	30	230	60.8326674098428	6.68902413109562	-4.60944179682495	"ADGRV1"
"22"	233	39	272	71.9412414585967	7.27416749181807	-4.52852391639989	"ZC3H13"
"23"	172	24	196	51.8400122275182	6.17485665736474	-4.50860866451264	"MKI67"
"24"	163	22	185	48.9306237861779	5.99908076577252	-4.48912505726367	"BRWD1"
"25"	62	1	63	16.6628610731309	3.50081466361258	-4.4740617765146	"RPTN"
"26"	78	4	82	21.6881683809005	3.99397894323069	-4.42870847150554	"SPHKAP"
"27"	78	4	82	21.6881683809005	3.99397894323069	-4.42870847150554	"ANKRD26"
"28"	88	6	94	24.8620466805445	4.27624689147717	-4.41088813607505	"ARMCX4"
"29"	173	25	198	52.3689919441256	6.20628106721876	-4.40988599254505	"CEP250"
"30"	93	7	100	26.4489858303664	4.41061189811767	-4.40958902746957	"SCAF11"
"31"	93	7	100	26.4489858303664	4.41061189811767	-4.40958902746957	"WDR60"
"32"	71	3	74	19.5722495144712	3.79415181742965	-4.36784037959189	"SYCP2"
"33"	106	10	116	30.6808235632251	4.7503743943344	-4.35351444885909	"TACC2"
"34"	52	0	52	13.7534726317906	3.18053747096697	-4.32426052430979	"ZNF133"
"35"	74	4	78	20.6302089476858	3.89534695583557	-4.2692497321124	"GPRASP1"
